,annual_stock_code,div_year,annual_revenue('000),annual_net_income('000),annual_eps,annual_dp(%)
533,0132,2023,16403,-1779,-0.002,0.0
534,0133,2018,31690,-20255,-0.024,0.0
535,0133,2019,21488,-19884,-0.021,0.0
536,0133,2020,23332,-7705,-0.007,0.0
537,0133,2021,17708,-94395,-0.132,0.0
538,0133,2022,12686,-19514,-0.014,0.0
539,0136,2018,42510,-395,-0.001,0.0
540,0136,2019,47305,4319,0.013000000000000001,0.2
541,0136,2020,33345,5416,0.016,0.0
542,0136,2021,45883,5373,0.016,0.0
543,0136,2022,45647,4812,0.014,0.0
544,0138,2018,564571,129018,0.036000000000000004,-1.16
545,0138,2019,595938,304592,0.088,0.64
546,0138,2020,532062,268157,0.077,0.29
547,0138,2021,724410,316008,0.064,0.2
548,0138,2022,486176,323971,0.042,0.06
549,0140,2018,50483,-8810,-0.001,0.0
550,0140,2019,86228,-2134,-0.006,0.0
551,0140,2020,64933,-7847,-0.023,0.0
552,0140,2021,31785,-8859,-0.014,0.0
553,0140,2022,33550,-5775,-0.005,0.0
554,0140,2023,6264,1985,0.002,0.0
555,0143,2018,29423,3608,0.004,0.0
556,0143,2019,24009,-2041,-0.002,0.0
557,0143,2020,11324,-17859,-0.018,0.0
558,0143,2021,13882,-7952,-0.007,0.0
559,0143,2022,13587,-8913,-0.007,0.0
560,0143,2023,8245,-5877,-0.004,0.0
561,0145,2018,50506,-1967,-0.01,0.0
562,0145,2019,87716,-3513,-0.017,0.0
563,0145,2020,19336,-3624,-0.015,0.0
564,0145,2021,5611,-4341,-0.009,0.0
565,0145,2022,3555,-5640,-0.01,0.0
566,0145,2023,1465,-1161,-0.002,0.0
567,0146,2018,24929,329,0.012,0.0
568,0146,2019,23025,3317,0.016,0.31
569,0146,2020,26814,8017,0.038,0.39
570,0146,2021,38315,15157,0.044,0.23
571,0146,2022,45340,17241,0.019,0.53
572,0146,2023,11590,4446,0.005,0.0
573,0147,2018,106934,1450,0.01,0.0
574,0147,2019,117190,1250,0.009,0.0
575,0147,2020,103032,-329,-0.002,0.0
576,0147,2021,120043,3621,0.024,0.0
577,0147,2022,91964,-486,-0.003,0.0
578,0148,2018,300429,-6871,-0.014,0.0
579,0148,2019,242977,-19136,-0.036,0.0
580,0148,2020,82233,-13231,-0.025,0.0
581,0148,2021,90444,698,0.001,0.0
582,0148,2022,80067,2495,0.004,0.0
583,0149,2018,14624,2960,0.03,0.0
584,0149,2019,15465,2827,0.029,0.0
585,0149,2020,13568,2102,0.022,0.0
586,0149,2021,12486,1747,0.018,0.0
587,0149,2022,15137,3378,0.035,0.0
588,0149,2023,9325,1997,0.02,0.0
589,0150,2018,30888,43435,0.117,0.0
590,0150,2019,15322,-39715,-0.071,0.0
591,0150,2020,20423,226692,0.378,0.0
592,0150,2021,114412,-314051,-0.39600000000000013,0.0
593,0150,2022,19256,-86250,-0.014,0.0
594,0150,2023,724,-27839,-0.006,0.0
595,0151,2018,349198,18458,0.074,0.34
596,0151,2019,379861,23987,0.08,0.23
597,0151,2020,389814,17110,0.054,0.09
598,0151,2021,517714,31820,0.07,0.22
599,0151,2022,852119,37567,0.058,0.17
600,0152,2018,4015,-6906,-0.011,0.0
601,0152,2019,7024,-17060,-0.016,0.0
602,0152,2020,13080,-13623,-0.013,0.0
