,Announced,Financial Year,Subject,EX Date,Payment Date,Amount,Indicator,Stock Code,Year
502,24/2/2020,31/12/2019,Interim Dividend,5/3/2020,18/3/2020,0.33,Currency,4162,2019
503,31/10/2019,31/12/2019,Interim Dividend,13/11/2019,26/11/2019,0.29,Currency,4162,2019
504,25/7/2019,31/12/2019,Interim Dividend,8/8/2019,22/8/2019,0.26,Currency,4162,2019
505,28/5/2019,31/12/2019,First Interim Dividend,13/6/2019,25/6/2019,0.3,Currency,4162,2019
506,21/2/2019,31/12/2018,Interim Dividend,6/3/2019,19/3/2019,0.47,Currency,4162,2018
507,19/10/2018,31/12/2018,Interim Dividend,1/11/2018,16/11/2018,0.4,Currency,4162,2018
508,19/7/2018,31/12/2018,Interim Dividend,1/8/2018,23/8/2018,0.35,Currency,4162,2018
509,21/5/2018,31/12/2018,Interim Dividend,1/6/2018,19/6/2018,0.33,Currency,4162,2018
510,27/10/2022,31/12/2022,Interim Dividend,10/11/2022,21/11/2022,0.25,Currency,7221,2022
511,21/7/2022,31/12/2022,Interim Dividend,4/8/2022,18/8/2022,0.25,Currency,7221,2022
512,27/5/2022,31/12/2022,Interim Dividend,15/6/2022,24/6/2022,0.17,Currency,7221,2022
513,8/2/2022,31/12/2021,Interim Dividend,22/2/2022,4/3/2022,0.27,Currency,7221,2021
514,28/10/2021,31/12/2021,Interim Dividend,12/11/2021,25/11/2021,0.26,Currency,7221,2021
515,23/7/2021,31/12/2021,Interim Dividend,5/8/2021,20/8/2021,0.24,Currency,7221,2021
516,31/5/2021,31/12/2021,Interim Dividend,15/6/2021,30/6/2021,0.21,Currency,7221,2021
517,10/2/2021,31/12/2020,Interim Dividend,25/2/2021,9/3/2021,0.27,Currency,7221,2020
518,28/10/2020,31/12/2020,Interim Dividend,12/11/2020,25/11/2020,0.21,Currency,7221,2020
519,23/7/2020,31/12/2020,Interim Dividend,6/8/2020,19/8/2020,0.18,Currency,7221,2020
520,21/5/2020,31/12/2020,Interim Dividend,5/6/2020,18/6/2020,0.17,Currency,7221,2020
521,24/2/2020,31/12/2019,Interim Dividend,5/3/2020,18/3/2020,0.33,Currency,7221,2019
522,31/10/2019,31/12/2019,Interim Dividend,13/11/2019,26/11/2019,0.29,Currency,7221,2019
523,25/7/2019,31/12/2019,Interim Dividend,8/8/2019,22/8/2019,0.26,Currency,7221,2019
524,28/5/2019,31/12/2019,First Interim Dividend,13/6/2019,25/6/2019,0.3,Currency,7221,2019
525,21/2/2019,31/12/2018,Interim Dividend,6/3/2019,19/3/2019,0.47,Currency,7221,2018
526,19/10/2018,31/12/2018,Interim Dividend,1/11/2018,16/11/2018,0.4,Currency,7221,2018
527,19/7/2018,31/12/2018,Interim Dividend,1/8/2018,23/8/2018,0.35,Currency,7221,2018
528,21/5/2018,31/12/2018,Interim Dividend,1/6/2018,19/6/2018,0.33,Currency,7221,2018
529,23/8/2022,30/6/2022,Final Dividend,23/9/2022,11/10/2022,0.12,Currency,2828,2022
530,27/9/2021,30/6/2021,Final Dividend,26/10/2021,11/11/2021,0.12,Currency,2828,2021
531,28/9/2020,30/6/2020,Final Dividend,27/10/2020,12/11/2020,0.1,Currency,2828,2020
532,8/10/2019,30/6/2019,Final Dividend,30/10/2019,14/11/2019,0.08,Currency,2828,2019
533,8/10/2018,30/6/2018,Final Dividend,29/10/2018,14/11/2018,0.1,Currency,2828,2018
534,1/4/2020,30/9/2019,Final Dividend,23/6/2020,7/7/2020,0.0025,Currency,7174,2019
535,29/1/2019,30/9/2018,Final Dividend,8/4/2019,19/4/2019,0.005,Currency,7174,2018
536,29/4/2019,31/12/2018,First Interim Dividend,8/5/2019,4/6/2019,0.008,Currency,191,2018
537,23/2/2022,31/3/2022,First Interim Dividend,15/3/2022,31/3/2022,0.005,Currency,7154,2022
538,30/7/2018,31/3/2018,Final Dividend,3/10/2018,25/10/2018,0.01,Currency,7154,2018
539,26/4/2022,31/12/2021,First and Final Dividend,31/5/2022,27/6/2022,0.02,Currency,2852,2021
540,28/4/2021,31/12/2020,First and Final Dividend,9/6/2021,30/6/2021,0.02,Currency,2852,2020
541,18/5/2020,31/12/2019,First and Final Dividend,28/8/2020,17/9/2020,0.03,Currency,2852,2019
542,29/4/2019,31/12/2018,First and Final Dividend,14/5/2019,24/5/2019,0.074,Currency,2852,2018
543,30/6/2022,31/12/2022,Interim Dividend,15/7/2022,28/7/2022,0.01,Currency,7128,2022
544,27/4/2022,31/12/2021,First and Final Dividend,18/7/2022,29/7/2022,0.04,Currency,5105,2021
545,27/4/2021,31/12/2020,First and Final Dividend,16/7/2021,30/7/2021,0.04,Currency,5105,2020
546,28/5/2020,31/12/2019,Special Dividend,17/7/2020,30/7/2020,0.02,Currency,5105,2019
547,28/5/2020,31/12/2019,First and Final Dividend,17/7/2020,30/7/2020,0.04,Currency,5105,2019
548,29/4/2019,31/12/2018,First and Final Dividend,15/7/2019,26/7/2019,0.04,Currency,5105,2018
549,3/7/2019,31/12/2019,Special Dividend,29/7/2019,29/8/2019,0.9,Currency,5099,2019
550,27/2/2019,31/12/2018,Interim Dividend,11/3/2019,10/4/2019,0.12,Currency,5099,2018
551,29/11/2018,31/12/2018,Special Dividend,12/12/2018,28/12/2018,0.4,Currency,5099,2018
552,24/5/2018,31/12/2018,Interim Dividend,12/6/2018,13/7/2018,0.12,Currency,5099,2018
553,19/1/2023,31/12/2022,Income Distribution,7/2/2023,22/2/2023,0.0206,Currency,5180,2022
554,1/8/2022,31/12/2022,Income Distribution (with Dividend Re-Investment Plan),12/8/2022,19/9/2022,0.0195,Currency,5180,2022
555,9/2/2022,31/12/2021,Income Distribution (with Dividend Re-Investment Plan),22/2/2022,28/3/2022,0.0098,Currency,5180,2021
556,3/8/2021,31/12/2021,Income Distribution (with Dividend Re-Investment Plan),17/8/2021,22/9/2021,0.0086,Currency,5180,2021
557,2/2/2021,31/12/2020,Income Distribution (with Dividend Re-Investment Plan),16/2/2021,23/3/2021,0.0199,Currency,5180,2020
558,21/8/2020,31/12/2020,Income Distribution (with Dividend Re-Investment Plan),4/9/2020,13/10/2020,0.0101,Currency,5180,2020
559,22/1/2020,31/12/2019,Income Distribution,6/2/2020,28/2/2020,0.0303,Currency,5180,2019
560,25/7/2019,31/12/2019,Income Distribution,8/8/2019,3/9/2019,0.0322,Currency,5180,2019
561,29/1/2019,31/12/2018,Income Distribution,13/2/2019,8/3/2019,0.0388,Currency,5180,2018
562,25/7/2018,31/12/2018,Income Distribution,6/8/2018,30/8/2018,0.0402,Currency,5180,2018
563,19/1/2023,31/12/2022,Income Distribution,7/2/2023,22/2/2023,0.0206,Currency,163,2022
564,1/8/2022,31/12/2022,Income Distribution (with Dividend Re-Investment Plan),12/8/2022,19/9/2022,0.0195,Currency,163,2022
565,9/2/2022,31/12/2021,Income Distribution (with Dividend Re-Investment Plan),22/2/2022,28/3/2022,0.0098,Currency,163,2021
566,3/8/2021,31/12/2021,Income Distribution (with Dividend Re-Investment Plan),17/8/2021,22/9/2021,0.0086,Currency,163,2021
567,2/2/2021,31/12/2020,Income Distribution (with Dividend Re-Investment Plan),16/2/2021,23/3/2021,0.0199,Currency,163,2020
568,21/8/2020,31/12/2020,Income Distribution (with Dividend Re-Investment Plan),4/9/2020,13/10/2020,0.0101,Currency,163,2020
569,22/1/2020,31/12/2019,Income Distribution,6/2/2020,28/2/2020,0.0303,Currency,163,2019
570,25/7/2019,31/12/2019,Income Distribution,8/8/2019,3/9/2019,0.0322,Currency,163,2019
571,29/1/2019,31/12/2018,Income Distribution,13/2/2019,8/3/2019,0.0388,Currency,163,2018
572,25/7/2018,31/12/2018,Income Distribution,6/8/2018,30/8/2018,0.0402,Currency,163,2018
573,20/10/2021,30/6/2021,Special Dividend,3/11/2021,17/11/2021,0.05,Currency,5257,2021
574,13/9/2021,30/6/2021,Second Interim Dividend,28/9/2021,28/10/2021,0.005,Currency,5257,2021
575,26/11/2020,30/6/2021,First Interim Dividend,11/12/2020,12/1/2021,0.005,Currency,5257,2021
576,20/2/2020,30/6/2020,First Interim Dividend,5/3/2020,3/4/2020,0.012,Currency,5257,2020
577,4/9/2019,30/6/2019,Second interim dividend,17/9/2019,17/10/2019,0.016,Currency,5257,2019
578,23/5/2019,30/6/2019,First Interim Dividend,17/6/2019,28/6/2019,0.014,Currency,5257,2019
579,25/11/2022,31/12/2022,Third Interim Dividend,25/11/2022,9/12/2022,0.19,Currency,2836,2022
580,19/8/2022,31/12/2022,Second Interim Dividend,2/9/2022,15/9/2022,0.22,Currency,2836,2022
581,24/5/2022,31/12/2022,First Interim Dividend,8/6/2022,22/6/2022,0.22,Currency,2836,2022
582,16/3/2022,31/12/2021,Final Dividend,14/4/2022,12/5/2022,0.46,Currency,2836,2021
583,20/8/2021,31/12/2021,Interim Dividend,15/10/2021,17/11/2021,0.1,Currency,2836,2021
584,8/3/2021,31/12/2020,Final Dividend,16/4/2021,18/5/2021,0.3,Currency,2836,2020
585,18/2/2021,31/12/2020,Interim Dividend,4/3/2021,12/4/2021,0.1,Currency,2836,2020
586,13/5/2020,31/12/2019,Special Dividend,4/9/2020,30/9/2020,0.048,Currency,2836,2019
587,13/5/2020,31/12/2019,Final Dividend,4/9/2020,30/9/2020,0.236,Currency,2836,2019
588,21/2/2020,31/12/2019,Interim Dividend,26/3/2020,10/4/2020,0.17,Currency,2836,2019
589,26/11/2019,31/12/2019,Interim Dividend,2/1/2020,22/1/2020,0.17,Currency,2836,2019
590,15/8/2019,31/12/2019,Interim Dividend,18/10/2019,31/10/2019,0.161,Currency,2836,2019
591,16/5/2019,31/12/2019,Interim Dividend,17/7/2019,31/7/2019,0.215,Currency,2836,2019
592,29/4/2019,31/12/2018,Special Dividend,16/5/2019,31/5/2019,0.093,Currency,2836,2018
593,29/4/2019,31/12/2018,Final Dividend,16/5/2019,31/5/2019,0.224,Currency,2836,2018
594,14/2/2019,31/12/2018,Interim Dividend,27/3/2019,8/4/2019,0.166,Currency,2836,2018
595,30/11/2018,31/12/2018,Interim Dividend,8/1/2019,30/1/2019,0.16,Currency,2836,2018
596,16/8/2018,31/12/2018,Interim Dividend,18/9/2018,17/10/2018,0.157,Currency,2836,2018
597,17/5/2018,31/12/2018,Interim Dividend,18/6/2018,3/7/2018,0.2,Currency,2836,2018
598,25/11/2022,31/12/2022,Third Interim Dividend,25/11/2022,9/12/2022,0.19,Currency,3048,2022
599,19/8/2022,31/12/2022,Second Interim Dividend,2/9/2022,15/9/2022,0.22,Currency,3048,2022
600,24/5/2022,31/12/2022,First Interim Dividend,8/6/2022,22/6/2022,0.22,Currency,3048,2022
601,16/3/2022,31/12/2021,Final Dividend,14/4/2022,12/5/2022,0.46,Currency,3048,2021
602,20/8/2021,31/12/2021,Interim Dividend,15/10/2021,17/11/2021,0.1,Currency,3048,2021
603,8/3/2021,31/12/2020,Final Dividend,16/4/2021,18/5/2021,0.3,Currency,3048,2020
604,18/2/2021,31/12/2020,Interim Dividend,4/3/2021,12/4/2021,0.1,Currency,3048,2020
605,13/5/2020,31/12/2019,Special Dividend,4/9/2020,30/9/2020,0.048,Currency,3048,2019
606,13/5/2020,31/12/2019,Final Dividend,4/9/2020,30/9/2020,0.236,Currency,3048,2019
607,21/2/2020,31/12/2019,Interim Dividend,26/3/2020,10/4/2020,0.17,Currency,3048,2019
608,26/11/2019,31/12/2019,Interim Dividend,2/1/2020,22/1/2020,0.17,Currency,3048,2019
609,15/8/2019,31/12/2019,Interim Dividend,18/10/2019,31/10/2019,0.161,Currency,3048,2019
610,16/5/2019,31/12/2019,Interim Dividend,17/7/2019,31/7/2019,0.215,Currency,3048,2019
611,29/4/2019,31/12/2018,Special Dividend,16/5/2019,31/5/2019,0.093,Currency,3048,2018
612,29/4/2019,31/12/2018,Final Dividend,16/5/2019,31/5/2019,0.224,Currency,3048,2018
613,14/2/2019,31/12/2018,Interim Dividend,27/3/2019,8/4/2019,0.166,Currency,3048,2018
614,30/11/2018,31/12/2018,Interim Dividend,8/1/2019,30/1/2019,0.16,Currency,3048,2018
615,16/8/2018,31/12/2018,Interim Dividend,18/9/2018,17/10/2018,0.157,Currency,3048,2018
616,17/5/2018,31/12/2018,Interim Dividend,18/6/2018,3/7/2018,0.2,Currency,3048,2018
617,12/1/2023,31/12/2022,Interim Dividend,30/1/2023,15/2/2023,0.02,Currency,7076,2022
618,28/12/2021,31/12/2021,Second Interim Dividend,11/1/2022,26/1/2022,0.02,Currency,7076,2021
619,28/9/2021,31/12/2021,First Interim Dividend,12/10/2021,28/10/2021,0.02,Currency,7076,2021
620,8/4/2021,31/12/2020,Second Interim Dividend,22/4/2021,10/5/2021,0.02,Currency,7076,2020
621,30/9/2020,31/12/2020,First Interim Dividend,14/10/2020,28/10/2020,0.02,Currency,7076,2020
622,6/12/2019,31/12/2019,First Interim Dividend,23/12/2019,8/1/2020,0.02,Currency,7076,2019
623,14/3/2019,31/12/2018,Second interim dividend,27/3/2019,18/4/2019,0.02,Currency,7076,2018
624,27/6/2018,31/12/2018,First Interim Dividend,12/7/2018,31/7/2018,0.02,Currency,7076,2018
625,6/4/2022,31/12/2021,First and Final Dividend,1/6/2022,20/6/2022,0.0125,Currency,7035,2021
626,13/4/2021,31/12/2020,First and Final Dividend,2/6/2021,18/6/2021,0.02,Currency,7035,2020
627,13/7/2020,31/12/2019,Final Dividend,26/8/2020,22/9/2020,0.005,Currency,7035,2019
628,27/5/2020,31/12/2019,Interim Dividend,11/6/2020,30/6/2020,0.0125,Currency,7035,2019
629,29/4/2019,31/12/2018,First and Final Dividend,30/5/2019,28/6/2019,0.0125,Currency,7035,2018
630,25/11/2022,31/7/2022,Final Dividend,27/12/2022,16/1/2023,0.0007,Currency,3024,2022
631,21/6/2022,31/7/2022,Second Interim Dividend,4/7/2022,20/7/2022,0.001,Currency,3024,2022
632,28/3/2022,31/7/2022,First Interim Dividend,11/4/2022,26/4/2022,0.001,Currency,3024,2022
633,24/11/2021,31/7/2021,Final Dividend,21/12/2021,10/1/2022,0.0015,Currency,3024,2021
634,24/9/2021,31/7/2021,Second Interim Dividend,30/9/2021,18/10/2021,0.0015,Currency,3024,2021
635,1/3/2021,31/7/2021,First Interim Dividend,8/3/2021,23/3/2021,0.001,Currency,3024,2021
636,25/11/2020,31/7/2020,Final Dividend,22/12/2020,11/1/2021,0.0005,Currency,3024,2020
637,24/7/2020,31/7/2020,First Interim Dividend,7/8/2020,27/8/2020,0.0005,Currency,3024,2020
638,25/11/2019,31/7/2019,Final Dividend,20/12/2019,9/1/2020,0.001,Currency,3024,2019
639,6/8/2019,31/7/2019,First Interim Dividend,14/8/2019,30/8/2019,0.001,Currency,3024,2019
640,9/8/2022,31/8/2022,Second Interim Dividend,24/8/2022,22/9/2022,0.01,Currency,238,2022
641,11/3/2022,31/8/2022,Interim Dividend,25/3/2022,15/4/2022,0.01,Currency,238,2022
642,25/8/2022,30/6/2022,Interim Dividend,9/9/2022,27/9/2022,0.0037,Currency,243,2022
643,30/5/2022,31/3/2022,Interim Dividend,16/6/2022,8/7/2022,0.0075,Currency,5195,2022
644,18/5/2021,31/3/2021,Interim Dividend,3/6/2021,25/6/2021,0.0075,Currency,5195,2021
645,28/3/2022,31/12/2022,Special Dividend,13/4/2022,29/4/2022,0.02,Currency,8982,2022
646,28/3/2022,31/12/2021,Others,13/4/2022,29/4/2022,0.01,Currency,8982,2021
647,28/3/2022,31/12/2021,Special Dividend,13/4/2022,29/4/2022,0.01,Currency,8982,2021
648,6/4/2021,31/12/2021,Special Dividend,30/4/2021,12/5/2021,0.01,Currency,8982,2021
649,6/4/2021,31/12/2020,Others,30/4/2021,12/5/2021,0.015,Currency,8982,2020
650,26/2/2020,31/12/2019,Others,14/5/2020,28/5/2020,0.015,Currency,8982,2019
651,3/5/2019,31/12/2018,Ordinary Dividend,7/5/2019,23/5/2019,0.015,Currency,8982,2018
652,24/10/2019,30/6/2019,Final Dividend,12/12/2019,24/12/2019,0.004,Currency,7209,2019
653,17/10/2018,30/6/2018,First and Final Dividend,5/12/2018,12/12/2018,0.004,Currency,7209,2018
654,25/5/2022,31/12/2022,First Interim Dividend,15/6/2022,5/7/2022,0.01,Currency,5273,2022
655,26/11/2021,31/12/2021,First Interim Dividend,23/12/2021,6/1/2022,0.01,Currency,5273,2021
656,26/2/2021,31/12/2020,Second Interim Dividend,23/3/2021,5/4/2021,0.01,Currency,5273,2020
657,25/8/2020,31/12/2020,First Interim Dividend,1/10/2020,14/10/2020,0.01,Currency,5273,2020
658,28/2/2020,31/12/2019,Second Interim Dividend,25/3/2020,15/4/2020,0.01,Currency,5273,2019
659,23/8/2019,31/12/2019,First Interim Dividend,30/9/2019,14/10/2019,0.01,Currency,5273,2019
660,21/2/2019,31/12/2018,First Interim Dividend,1/4/2019,15/4/2019,0.015,Currency,5273,2018
661,28/7/2022,31/8/2022,Second Interim Dividend,12/8/2022,30/8/2022,0.08,Currency,1929,2022
662,28/7/2022,31/8/2022,Special Dividend,12/8/2022,30/8/2022,0.21,Currency,1929,2022
663,27/12/2021,31/8/2022,Special Dividend,11/1/2022,28/1/2022,0.05,Currency,1929,2022
664,27/12/2021,31/8/2022,First Interim Dividend,11/1/2022,28/1/2022,0.08,Currency,1929,2022
665,30/7/2021,31/8/2021,Second Interim Dividend,17/8/2021,30/8/2021,0.08,Currency,1929,2021
666,30/7/2021,31/8/2021,Special Dividend,17/8/2021,30/8/2021,0.11,Currency,1929,2021
667,6/1/2021,31/8/2021,First Interim Dividend,21/1/2021,5/2/2021,0.08,Currency,1929,2021
668,6/1/2021,31/8/2021,Special Dividend,21/1/2021,5/2/2021,0.03,Currency,1929,2021
669,28/7/2020,31/8/2020,Second Interim Dividend,13/8/2020,28/8/2020,0.08,Currency,1929,2020
670,30/12/2019,31/8/2020,First Interim Dividend,15/1/2020,23/1/2020,0.08,Currency,1929,2020
671,31/7/2019,31/8/2019,Second interim dividend,16/8/2019,30/8/2019,0.08,Currency,1929,2019
672,31/7/2019,31/8/2019,Special Dividend,16/8/2019,30/8/2019,0.02,Currency,1929,2019
673,4/1/2019,31/8/2019,First Interim Dividend,18/1/2019,31/1/2019,0.08,Currency,1929,2019
674,4/1/2019,31/8/2019,Special Dividend,18/1/2019,31/1/2019,0.02,Currency,1929,2019
675,30/7/2018,31/8/2018,Second interim dividend,13/8/2018,30/8/2018,0.1,Currency,1929,2018
676,30/7/2018,31/8/2018,Special Dividend,13/8/2018,30/8/2018,0.1,Currency,1929,2018
677,2/1/2018,31/8/2018,First Interim Dividend,16/1/2018,30/1/2018,0.1,Currency,1929,2018
678,29/8/2022,30/6/2022,Second Interim Dividend,21/10/2022,24/11/2022,0.08,Currency,5007,2022
679,23/2/2022,30/6/2022,Interim Dividend,22/4/2022,20/5/2022,0.054,Currency,5007,2022
680,15/9/2021,30/6/2021,Second Interim Dividend,27/10/2021,26/11/2021,0.018,Currency,5007,2021
681,26/2/2021,30/6/2021,Interim Dividend,22/4/2021,21/5/2021,0.015,Currency,5007,2021
682,27/2/2020,30/6/2020,Interim Dividend,23/4/2020,22/5/2020,0.015,Currency,5007,2020
683,28/8/2019,30/6/2019,Second interim dividend,24/10/2019,22/11/2019,0.0335,Currency,5007,2019
684,26/2/2019,30/6/2019,Interim Dividend,24/4/2019,21/5/2019,0.045,Currency,5007,2019
685,27/8/2018,30/6/2018,Second interim dividend,7/9/2018,27/9/2018,0.041,Currency,5007,2018
686,27/2/2018,30/6/2018,Interim Dividend,24/4/2018,24/5/2018,0.039,Currency,5007,2018
687,28/4/2022,31/12/2021,Special Dividend,19/7/2022,3/8/2022,0.025,Currency,5797,2021
688,28/4/2022,31/12/2021,Final Dividend,19/7/2022,3/8/2022,0.05,Currency,5797,2021
689,3/6/2021,31/12/2020,Final Dividend,8/7/2021,23/7/2021,0.03,Currency,5797,2020
690,29/4/2019,31/12/2018,Final Dividend,7/8/2019,28/8/2019,0.05,Currency,5797,2018
691,30/11/2021,30/6/2021,First and Final Dividend,15/12/2021,28/12/2021,0.0181,Currency,7016,2021
692,30/5/2019,31/12/2018,Final Dividend,24/7/2019,16/8/2019,0.011,Currency,7016,2018
693,14/9/2022,31/12/2022,First Interim Dividend (with Dividend Re-Investment Plan),28/9/2022,28/10/2022,0.13,Currency,1023,2022
694,14/3/2022,31/12/2021,Second Interim Dividend (with Dividend Re-Investment Plan),25/3/2022,25/4/2022,0.1255,Currency,1023,2021
695,14/9/2021,31/12/2021,First Interim Dividend (with Dividend Re-Investment Plan),28/9/2021,27/10/2021,0.1044,Currency,1023,2021
696,11/3/2021,31/12/2020,Interim Dividend (with Dividend Re-Investment Plan),24/3/2021,22/4/2021,0.0481,Currency,1023,2020
697,2/3/2020,31/12/2019,Second Interim Dividend,16/3/2020,13/4/2020,0.12,Currency,1023,2019
698,23/9/2019,31/12/2019,First Interim Dividend,4/10/2019,6/11/2019,0.14,Currency,1023,2019
699,13/3/2019,31/12/2018,Second interim dividend,25/3/2019,24/4/2019,0.12,Currency,1023,2018
700,7/9/2018,31/12/2018,First Interim Dividend,24/9/2018,24/10/2018,0.13,Currency,1023,2018
701,26/2/2019,31/12/2018,Interim Dividend,13/3/2019,12/4/2019,0.003,Currency,5104,2018
702,25/8/2022,31/12/2022,Interim Dividend,12/9/2022,27/9/2022,0.005,Currency,7117,2022
703,29/4/2019,31/12/2018,Final Dividend,9/5/2019,7/6/2019,0.0025,Currency,7117,2018
704,24/8/2018,31/12/2018,Interim Dividend,12/9/2018,28/9/2018,0.005,Currency,7117,2018
705,26/11/2020,31/12/2020,First Interim Dividend,11/12/2020,4/1/2021,0.03,Currency,7202,2020
706,25/2/2020,31/12/2019,Second Interim Dividend,1/4/2020,17/4/2020,0.02,Currency,7202,2019
707,27/8/2019,31/12/2019,First Interim Dividend,26/9/2019,15/10/2019,0.03,Currency,7202,2019
708,26/2/2019,31/12/2018,Second interim dividend,1/4/2019,18/4/2019,0.04,Currency,7202,2018
709,23/8/2018,31/12/2018,First Interim Dividend,11/10/2018,29/10/2018,0.02,Currency,7202,2018
710,20/3/2018,31/1/2019,Special Dividend,2/4/2018,19/4/2018,0.45,Currency,7195,2019
711,27/4/2020,31/3/2021,Interim Dividend,13/5/2020,12/6/2020,0.16,Currency,5136,2021
712,18/7/2019,31/3/2020,First Interim Dividend,5/8/2019,26/8/2019,0.16,Currency,5136,2020
713,19/1/2023,30/11/2022,Second Interim Dividend,7/2/2023,17/2/2023,0.04,Currency,5049,2022
714,26/7/2022,30/11/2022,First Interim Dividend,30/8/2022,26/9/2022,0.03,Currency,5049,2022
715,26/1/2022,30/11/2021,Second Interim Dividend,25/2/2022,25/3/2022,0.03,Currency,5049,2021
716,28/4/2021,30/11/2021,First Interim Dividend,9/6/2021,7/7/2021,0.02,Currency,5049,2021
717,23/10/2020,30/11/2020,First Interim Dividend,10/11/2020,1/12/2020,0.03,Currency,5049,2020
718,23/7/2020,30/11/2019,Final Dividend,7/8/2020,24/8/2020,0.05,Currency,5049,2019
719,25/10/2019,30/11/2019,First Interim Dividend,8/11/2019,25/11/2019,0.03,Currency,5049,2019
720,26/10/2018,30/11/2018,First Interim Dividend,8/11/2018,22/11/2018,0.05,Currency,5049,2018
721,30/3/2022,31/1/2022,Final Dividend,11/8/2022,29/8/2022,0.02,Currency,6718,2022
722,28/9/2021,31/1/2022,Interim Dividend,27/10/2021,18/11/2021,0.02,Currency,6718,2022
723,16/4/2021,31/1/2021,Final Dividend,12/8/2021,30/8/2021,0.02,Currency,6718,2021
724,29/12/2020,31/1/2021,Special Dividend,22/1/2021,22/2/2021,0.02,Currency,6718,2021
725,28/9/2020,31/1/2021,Interim Dividend,27/10/2020,18/11/2020,0.02,Currency,6718,2021
726,27/9/2019,31/1/2020,Interim Dividend,30/10/2019,21/11/2019,0.03,Currency,6718,2020
727,29/4/2019,31/1/2019,Final Dividend,8/8/2019,29/8/2019,0.03,Currency,6718,2019
728,27/9/2018,31/1/2019,Interim Dividend,29/10/2018,22/11/2018,0.03,Currency,6718,2019
729,29/3/2018,31/1/2018,Final Dividend,8/8/2018,29/8/2018,0.03,Currency,6718,2018
730,28/9/2017,31/1/2018,Interim Dividend,27/10/2017,21/11/2017,0.03,Currency,6718,2018
731,25/6/2020,31/12/2019,First and Final Dividend,1/10/2020,28/10/2020,0.035,Currency,8591,2019
732,30/4/2019,31/12/2018,First and Final Dividend,11/7/2019,2/8/2019,0.045,Currency,8591,2018
733,20/7/2022,30/6/2022,Special Dividend,27/7/2022,9/8/2022,0.0075,Currency,3016,2022
734,24/2/2022,30/6/2022,Interim Dividend,4/3/2022,17/3/2022,0.0025,Currency,3016,2022
735,26/8/2021,30/6/2022,Interim Dividend,3/9/2021,20/9/2021,0.0025,Currency,3016,2022
736,25/2/2021,30/6/2021,Interim Dividend,4/3/2021,18/3/2021,0.0025,Currency,3016,2021
737,27/8/2020,30/6/2021,Interim Dividend,7/9/2020,22/9/2020,0.0025,Currency,3016,2021
738,27/2/2020,30/6/2020,Interim Dividend,5/3/2020,20/3/2020,0.0025,Currency,3016,2020
739,17/9/2019,30/6/2019,Interim Dividend,9/10/2019,30/10/2019,0.0025,Currency,3016,2019
740,27/4/2022,31/12/2021,Final Dividend,23/6/2022,7/7/2022,0.14,Currency,5094,2021
741,23/4/2021,31/12/2020,Final Dividend,24/6/2021,9/7/2021,0.07,Currency,5094,2020
742,22/5/2020,31/12/2019,Final Dividend,25/6/2020,10/7/2020,0.066,Currency,5094,2019
743,29/4/2019,31/12/2018,Final Dividend,27/6/2019,11/7/2019,0.04,Currency,5094,2018
744,27/10/2022,31/12/2022,Third Interim Dividend,16/11/2022,14/12/2022,0.006,Currency,5301,2022
745,26/7/2022,31/12/2022,Second Interim Dividend,15/8/2022,13/9/2022,0.0059,Currency,5301,2022
746,22/4/2022,31/12/2022,First Interim Dividend,12/5/2022,10/6/2022,0.0032,Currency,5301,2022
747,21/1/2022,31/12/2021,Third Interim Dividend,9/2/2022,25/2/2022,0.0033,Currency,5301,2021
748,15/10/2021,31/12/2021,Second Interim Dividend,11/11/2021,10/12/2021,0.0032,Currency,5301,2021
749,16/7/2021,31/12/2021,First Interim Dividend,5/8/2021,3/9/2021,0.0053,Currency,5301,2021
750,21/10/2022,30/6/2022,First and Final Dividend,2/12/2022,23/12/2022,0.005,Currency,9423,2022
751,26/10/2020,30/6/2020,First and Final Dividend,4/12/2020,23/12/2020,0.005,Currency,9423,2020
752,25/10/2019,30/6/2019,First and Final Dividend,3/12/2019,23/12/2019,0.015,Currency,9423,2019
753,29/10/2018,30/6/2018,First and Final Dividend,6/12/2018,28/12/2018,0.015,Currency,9423,2018
754,4/1/2022,31/1/2022,Second Interim Dividend,19/1/2022,28/1/2022,0.005,Currency,7157,2022
755,8/10/2021,31/1/2022,Interim Dividend,25/10/2021,8/11/2021,0.005,Currency,7157,2022
756,5/1/2021,31/1/2021,Interim Dividend,19/1/2021,29/1/2021,0.005,Currency,7157,2021
757,27/12/2019,31/1/2020,Interim Dividend,10/1/2020,22/1/2020,0.005,Currency,7157,2020
758,19/3/2018,31/1/2018,Second interim dividend,24/5/2018,12/6/2018,0.02,Currency,7157,2018
759,18/12/2017,31/1/2018,Interim Dividend,3/1/2018,16/1/2018,0.02,Currency,7157,2018
760,4/1/2022,31/1/2022,Second Interim Dividend,19/1/2022,28/1/2022,0.005,Currency,5184,2022
761,8/10/2021,31/1/2022,Interim Dividend,25/10/2021,8/11/2021,0.005,Currency,5184,2022
762,5/1/2021,31/1/2021,Interim Dividend,19/1/2021,29/1/2021,0.005,Currency,5184,2021
763,27/12/2019,31/1/2020,Interim Dividend,10/1/2020,22/1/2020,0.005,Currency,5184,2020
764,19/3/2018,31/1/2018,Second interim dividend,24/5/2018,12/6/2018,0.02,Currency,5184,2018
