,Announced,Financial Year,Subject,EX Date,Payment Date,Amount,Indicator,Stock Code,Year
2273,18/5/2020,31/12/2019,Final Dividend,14/8/2020,25/8/2020,0.06,Currency,3069,2019
2274,29/4/2019,31/12/2018,Final Dividend,20/6/2019,12/7/2019,0.02,Currency,3069,2018
2275,28/8/2018,31/12/2018,Interim Dividend,26/9/2018,12/10/2018,0.02,Currency,3069,2018
2276,29/12/2022,31/8/2022,First and Final Dividend,9/3/2023,21/3/2023,0.01,Currency,5129,2022
2277,29/12/2021,31/8/2021,First and Final Dividend,10/3/2022,21/3/2022,0.01,Currency,5129,2021
2278,29/12/2020,31/8/2020,First and Final Dividend,9/3/2021,19/3/2021,0.01,Currency,5129,2020
2279,27/12/2019,31/8/2019,First and Final Dividend,11/3/2020,19/3/2020,0.01,Currency,5129,2019
2280,27/12/2018,31/8/2018,First and Final Dividend,7/3/2019,19/3/2019,0.01,Currency,5129,2018
2281,29/12/2022,31/8/2022,First and Final Dividend,9/3/2023,21/3/2023,0.01,Currency,3778,2022
2282,29/12/2021,31/8/2021,First and Final Dividend,10/3/2022,21/3/2022,0.01,Currency,3778,2021
2283,29/12/2020,31/8/2020,First and Final Dividend,9/3/2021,19/3/2021,0.01,Currency,3778,2020
2284,27/12/2019,31/8/2019,First and Final Dividend,11/3/2020,19/3/2020,0.01,Currency,3778,2019
2285,27/12/2018,31/8/2018,First and Final Dividend,7/3/2019,19/3/2019,0.01,Currency,3778,2018
2286,1/4/2022,31/12/2022,Interim Dividend,6/5/2022,26/5/2022,0.05,Currency,5011,2022
2287,31/5/2018,31/12/2018,Interim Dividend,18/6/2018,5/7/2018,0.08,Percentage,5011,2018
2288,22/11/2021,31/12/2021,First Interim Dividend,14/1/2022,28/1/2022,0.0013,Currency,207,2021
2289,31/12/2020,31/12/2020,First Interim Dividend,15/1/2021,29/1/2021,0.0015,Currency,207,2020
2290,17/12/2019,31/12/2019,First Interim Dividend,2/1/2020,17/1/2020,0.002,Currency,207,2019
2291,30/3/2022,31/12/2022,First Interim Dividend,5/4/2022,15/4/2022,0.0066,Currency,3005,2022
2292,25/2/2021,31/12/2021,First Interim Dividend,4/3/2021,25/3/2021,0.0065,Currency,3005,2021
2293,24/2/2020,31/12/2020,First Interim Dividend,4/3/2020,2/4/2020,0.006,Currency,3005,2020
2294,20/6/2019,31/12/2019,First Interim Dividend,27/6/2019,10/7/2019,0.0055,Currency,3005,2019
2295,9/8/2018,31/12/2018,First Interim Dividend,16/8/2018,18/9/2018,0.005,Currency,3005,2018
2296,28/2/2022,31/12/2021,Final Dividend,28/7/2022,26/8/2022,0.06,Currency,6149,2021
2297,23/3/2021,31/12/2020,Final Dividend,26/8/2021,24/9/2021,0.06,Currency,6149,2020
2298,26/6/2020,31/12/2019,Final Dividend,4/11/2020,19/11/2020,0.06,Currency,6149,2019
2299,29/4/2019,31/12/2018,Final Dividend,27/6/2019,12/7/2019,0.06,Currency,6149,2018
2300,28/4/2022,31/12/2021,Final Dividend,27/6/2022,20/7/2022,0.0049,Currency,7595,2021
2301,22/2/2022,31/12/2021,First Interim Dividend,9/3/2022,30/3/2022,0.0042,Currency,7595,2021
2302,30/3/2022,31/12/2022,Interim Dividend,15/4/2022,10/5/2022,0.02,Currency,5026,2022
2303,30/3/2022,31/12/2022,Special Dividend,15/4/2022,10/5/2022,0.02,Currency,5026,2022
2304,30/3/2022,31/12/2021,Special Dividend,15/4/2022,10/5/2022,0.02,Currency,5026,2021
2305,7/4/2021,31/12/2021,Special Dividend,22/4/2021,21/5/2021,0.02,Currency,5026,2021
2306,7/4/2021,31/12/2021,Interim Dividend,22/4/2021,21/5/2021,0.02,Currency,5026,2021
2307,14/5/2020,31/12/2020,First Interim Dividend,1/6/2020,12/6/2020,0.015,Currency,5026,2020
2308,10/5/2019,31/12/2018,Final Dividend,28/5/2019,13/6/2019,0.015,Currency,5026,2018
2309,28/7/2022,31/12/2022,Second Interim Dividend,11/8/2022,26/8/2022,0.01,Currency,5286,2022
2310,29/4/2022,31/12/2022,First Interim Dividend,18/5/2022,2/6/2022,0.01,Currency,5286,2022
2311,21/2/2022,31/12/2021,Second Interim Dividend,7/3/2022,22/3/2022,0.02,Currency,5286,2021
2312,9/11/2021,31/12/2021,First Interim Dividend,16/11/2021,30/11/2021,0.03,Currency,5286,2021
2313,23/10/2020,31/12/2020,First Interim Dividend,9/11/2020,23/11/2020,0.03,Currency,5286,2020
2314,20/2/2020,31/12/2019,Second Interim Dividend,5/3/2020,20/3/2020,0.03,Currency,5286,2019
2315,23/5/2019,31/12/2019,First Interim Dividend,17/6/2019,12/7/2019,0.01,Currency,5286,2019
2316,14/11/2018,31/12/2018,Second interim dividend,29/11/2018,21/12/2018,0.02,Currency,5286,2018
2317,25/7/2018,31/12/2018,First Interim Dividend,8/8/2018,30/8/2018,0.03,Currency,5286,2018
2318,27/11/2020,31/3/2021,Interim Dividend,11/12/2020,12/1/2021,0.01,Currency,126,2021
2319,13/7/2020,31/3/2020,Interim Dividend,28/7/2020,26/8/2020,0.01,Currency,126,2020
2320,27/10/2022,30/6/2022,Final Dividend,15/12/2022,5/1/2023,0.0005,Currency,112,2022
2321,27/10/2021,30/6/2021,Final Dividend,21/12/2021,11/1/2022,0.0005,Currency,112,2021
2322,28/10/2020,30/6/2020,Final Dividend,2/12/2020,22/12/2020,0.0005,Currency,112,2020
2323,28/5/2019,30/6/2019,First Interim Dividend,13/6/2019,26/6/2019,0.003,Currency,112,2019
2324,24/10/2018,30/6/2018,Final Dividend,27/11/2018,17/12/2018,0.005,Currency,112,2018
2325,3/4/2018,30/6/2018,First Interim Dividend,17/4/2018,11/5/2018,0.005,Currency,112,2018
2326,20/9/2019,31/12/2019,Interim Dividend,7/10/2019,30/10/2019,0.0115,Currency,5576,2019
2327,17/11/2022,31/12/2022,Interim Dividend,1/12/2022,14/12/2022,0.07,Currency,3816,2022
2328,18/8/2022,31/12/2022,Interim Dividend,2/9/2022,14/9/2022,0.07,Currency,3816,2022
2329,26/5/2022,31/12/2022,Interim Dividend,10/6/2022,22/6/2022,0.07,Currency,3816,2022
2330,17/2/2022,31/12/2021,Interim Dividend,3/3/2022,16/3/2022,0.12,Currency,3816,2021
2331,2/12/2021,31/12/2021,Interim Dividend,2/12/2021,14/12/2021,0.07,Currency,3816,2021
