,div_announced_year,div_ex_date,div_dividend(RM),div_stock_code,div_year,div_status,stock_close,dividend_y_%
684,2019-01-08,2019-01-18,0.002,0078,2018,Y,0.306,0.654
685,2019-01-07,2019-01-18,0.01,9873,2018,Y,0.314,3.185
686,2019-01-10,2019-01-23,0.025,7232,2019,Y,0.226,11.062
687,2019-01-03,2019-01-23,0.4,1163,2018,Y,11.47,3.487
688,2018-11-28,2019-01-24,0.02,5191,2018,Y,0.611,3.273
689,2018-12-21,2019-01-25,0.305,3689,2018,Y,31.483,0.969
690,2019-01-18,2019-01-25,0.0167,03018,2018,Y,0.558,2.993
691,2019-01-15,2019-01-29,0.0155,5280,2019,Y,0.592,2.618
692,2019-01-15,2019-01-29,0.0278,5401,2019,Y,0.808,3.441
693,2019-01-15,2019-01-29,0.01,5278,2018,Y,0.643,1.555
694,2018-11-29,2019-01-29,0.005,5878,2018,Y,1.016,0.492
695,2019-01-17,2019-02-04,0.0385,5123,2018,Y,0.834,4.616
696,2019-01-22,2019-02-04,0.0509,5110,2018,Y,1.032,4.932
697,2019-01-23,2019-02-07,0.0228,5227,2018,Y,1.464,1.557
698,2019-01-22,2019-02-08,0.0245,5106,2018,Y,1.429,1.714
699,2019-01-23,2019-02-11,0.02,5131,2018,Y,1.017,1.967
700,2019-01-23,2019-02-11,0.02,5131,2018,Y,1.017,1.967
701,2019-01-24,2019-02-11,0.0463,5235SS,2018,Y,6.586,0.703
702,2019-01-31,2019-02-11,0.0063,03015,2019,Y,0.228,2.763
703,2019-01-24,2019-02-11,0.03,5983,2018,Y,1.995,1.504
704,2019-01-10,2019-02-11,0.1,7048,2019,Y,4.122,2.426
705,2019-01-24,2019-02-11,0.0627,5235SS,2018,Y,6.586,0.952
706,2018-12-26,2019-02-11,0.0018,0101,2018,Y,0.721,0.25
707,2019-01-24,2019-02-12,0.021,5130,2018,Y,0.87,2.414
708,2018-12-27,2019-02-12,0.015,5160,2018,Y,0.448,3.348
709,2019-01-29,2019-02-13,0.0388,5180,2018,Y,0.914,4.245
710,2018-11-29,2019-02-13,0.01,5080,2018,Y,0.46,2.174
711,2019-01-30,2019-02-14,0.0235,5269,2018,Y,0.719,3.268
712,2019-01-29,2019-02-14,0.044,5212,2018,Y,1.484,2.965
713,2019-01-29,2019-02-14,0.42,8621,2018,Y,13.88,3.026
714,2019-01-30,2019-02-14,0.0207,5116,2018,Y,1.101,1.88
715,2019-01-30,2019-02-15,0.116,1818,2018,Y,6.151,1.886
716,2019-01-30,2019-02-18,0.0633,5246,2018,Y,3.422,1.85
717,2018-12-14,2019-02-20,0.01,6963,2019,Y,0.46,2.174
718,2018-12-07,2019-02-21,0.3,2445,2018,Y,22.773,1.317
719,2018-12-07,2019-02-21,0.4,1899,2018,Y,15.321,2.611
720,2019-01-23,2019-02-22,0.04,7668,2019,Y,2.294,1.744
721,2019-01-29,2019-02-26,0.02,7083,2019,Y,1.141,1.753
722,2019-02-14,2019-02-27,0.0225,5176,2019,Y,1.532,1.469
723,2019-01-24,2019-02-27,0.048,6947,2018,Y,4.022,1.193
724,2019-02-15,2019-02-28,0.05,6012,2018,Y,4.67,1.071
725,2019-02-18,2019-03-01,0.22,6033,2018,Y,15.243,1.443
726,2019-02-18,2019-03-04,0.02,5102,2018,Y,1.77,1.13
727,2019-02-19,2019-03-04,0.015,6009,2019,Y,0.73,2.055
728,2019-02-20,2019-03-05,0.37,1295,2018,Y,4.316,8.573
729,2019-02-21,2019-03-06,0.005,7107,2019,Y,0.706,0.708
730,2019-02-12,2019-03-06,0.022,5168,2019,Y,4.036,0.545
731,2019-02-19,2019-03-06,0.03,0002,2019,Y,1.554,1.931
732,2019-02-22,2019-03-06,0.09,3816,2018,Y,5.824,1.545
733,2019-01-03,2019-03-06,0.01,7162,2018,Y,0.333,3.003
734,2019-02-25,2019-03-06,0.01,0198,2018,Y,0.161,6.211
735,2019-02-21,2019-03-06,0.47,4162,2018,Y,25.447,1.847
736,2018-12-27,2019-03-07,0.01,5129,2018,Y,0.449,2.227
737,2019-02-14,2019-03-07,0.045,5209,2018,Y,2.288,1.967
738,2019-02-20,2019-03-08,0.035,1961,2019,Y,4.129,0.848
739,2019-02-26,2019-03-08,0.015,0099,2019,Y,0.973,1.542
740,2019-02-25,2019-03-08,0.18,5183,2018,Y,8.031,2.241
741,2019-02-22,2019-03-08,0.01,5277,2019,Y,0.294,3.401
742,2019-02-21,2019-03-08,0.02,7081,2018,Y,0.389,5.141
743,2019-02-25,2019-03-08,0.005,0193,2019,Y,0.047,10.638
744,2019-02-27,2019-03-11,0.02,7169,2019,Y,1.096,1.825
745,2019-02-21,2019-03-11,0.0199,0825EA,2018,Y,0.826,2.409
746,2019-02-21,2019-03-11,0.0276,0824EA,2018,Y,1.14,2.421
747,2019-02-25,2019-03-11,0.0225,5132,2018,Y,0.947,2.376
748,2019-02-26,2019-03-11,0.25,5681,2018,Y,23.515,1.063
749,2019-02-26,2019-03-11,0.02,7022,2018,Y,1.729,1.157
750,2019-02-26,2019-03-11,0.01,7022,2018,Y,1.729,0.578
751,2019-02-26,2019-03-11,0.01,5138,2018,Y,1.564,0.639
752,2019-02-25,2019-03-11,0.02,5152,2018,Y,0.539,3.711
753,2019-01-25,2019-03-11,0.0225,6939,2018,Y,0.429,5.245
754,2019-02-21,2019-03-11,0.0244,0821EA,2018,Y,1.125,2.169
755,2019-02-22,2019-03-11,0.015,7248,2018,Y,1.004,1.494
756,2019-02-27,2019-03-11,0.12,5099,2018,Y,1.055,11.374
757,2019-02-21,2019-03-11,0.02,7089,2018,Y,0.746,2.681
758,2019-02-27,2019-03-11,0.0194,5109,2019,Y,1.056,1.837
759,2019-02-26,2019-03-11,0.16,5819,2019,Y,18.959,0.844
760,2019-02-27,2019-03-12,0.08,4715,2018,Y,2.733,2.927
761,2019-02-27,2019-03-12,0.1,2755,2019,Y,1.05,9.524
762,2019-02-27,2019-03-12,0.07,3182,2018,Y,6.088,1.15
763,2019-01-30,2019-03-12,0.04,7137,2018,Y,2.192,1.825
764,2019-01-30,2019-03-12,0.06,7137,2018,Y,2.192,2.737
765,2019-02-21,2019-03-12,0.008,0128,2018,Y,0.615,1.301
766,2019-02-27,2019-03-12,0.023,5279,2018,Y,1.712,1.343
767,2019-02-26,2019-03-12,0.03,7227,2018,Y,0.935,3.209
768,2019-02-25,2019-03-13,0.006,0183,2019,Y,0.353,1.7
769,2019-02-28,2019-03-13,0.02,5100,2018,Y,0.634,3.155
770,2019-02-27,2019-03-13,0.025,7052,2019,Y,3.299,0.758
771,2019-02-26,2019-03-13,0.003,5104,2018,Y,0.07,4.286
772,2019-02-26,2019-03-13,0.025,0104,2019,Y,0.135,18.519
