,stock_name,stock_code
277,FSBM HOLDINGS BERHAD,9377.KL
278,FTSE BURSA MALAYSIA KLCI ETF,0820EA.KL
279,G CAPITAL BERHAD,7676.KL
280,G NEPTUNE BERHAD,0045.KL
281,G3 GLOBAL BERHAD,7184.KL
282,GABUNGAN AQRS BERHAD,5226.KL
283,GADANG HOLDINGS BHD,9261.KL
284,GAGASAN NADI CERGAS BERHAD,0206.KL
285,GAMUDA BERHAD,5398.KL
286,GAS MALAYSIA BERHAD,5209.KL
287,GDB HOLDINGS BERHAD,0198.KL
288,GDEX BERHAD,0078.KL
289,GENETEC TECHNOLOGY BERHAD,0104.KL
290,GENTING BERHAD,3182.KL
291,GENTING MALAYSIA BERHAD,4715.KL
292,GENTING PLANTATIONS BERHAD,2291.KL
293,GEORGE KENT (MALAYSIA) BERHAD,3204.KL
294,GE-SHEN CORPORATION BERHAD,7197.KL
295,GETS GLOBAL BERHAD,5079.KL
296,GFM SERVICES BERHAD,0039.KL
297,GHL SYSTEMS BERHAD,0021.KL
298,GIIB HOLDINGS BERHAD,7192.KL
299,GLOBAL ORIENTAL BERHAD,1147.KL
300,GLOBALTEC FORMATION BERHAD,5220.KL
301,GLOBETRONICS TECHNOLOGY BERHAD,7022.KL
302,GLOMAC BERHAD,5020.KL
303,GOLDEN LAND BERHAD,7382.KL
304,GOLDEN PHAROS BERHAD,5649.KL
305,GOPENG BERHAD,2135.KL
306,GPP RESOURCES BERHAD,03029.KL
307,GRAND CENTRAL ENTERPRISES BHD,5592.KL
308,GREATECH TECHNOLOGY BERHAD,0208.KL
309,GREEN OCEAN CORPORATION BERHAD,0074.KL
310,GREEN PACKET BERHAD,0082.KL
311,GREENYIELD BERHAD,0136.KL
312,GROMUTUAL BERHAD,9962.KL
313,GUAN CHONG BERHAD,5102.KL
314,GUH HOLDINGS BERHAD,3247.KL
315,GUOCOLAND (MALAYSIA) BERHAD,1503.KL
316,HAILY GROUP BERHAD,0237.KL
317,HANDAL ENERGY BERHAD,7253.KL
318,HAP SENG CONSOLIDATED BERHAD,3034.KL
319,HAP SENG PLANTATIONS HOLDINGS BERHAD,5138.KL
320,HARBOUR-LINK GROUP BERHAD,2062.KL
321,HARN LEN CORPORATION BHD,7501.KL
322,HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008.KL
323,HARTALEGA HOLDINGS BERHAD,5168.KL
324,HB GLOBAL LIMITED,5187.KL
325,HCK CAPITAL GROUP BERHAD,7105.KL
326,HEINEKEN MALAYSIA BERHAD,3255.KL
327,HEITECH PADU BERHAD,5028.KL
328,HEKTAR REAL ESTATE INVESTMENT TRUST,5121.KL
329,HENG HUAT RESOURCES GROUP BERHAD,0175.KL
330,HENGYUAN REFINING COMPANY BERHAD,4324.KL
331,HEVEABOARD BERHAD,5095.KL
332,HEXTAR GLOBAL BERHAD,5151.KL
333,HEXTAR INDUSTRIES BERHAD,0161.KL
334,HEXZA CORPORATION BERHAD,3298.KL
335,HIAP HUAT HOLDINGS BERHAD,0160.KL
336,HIAP TECK VENTURE BERHAD,5072.KL
337,HIBISCUS PETROLEUM BERHAD,5199.KL
338,HIL INDUSTRIES BERHAD,8443.KL
339,HLT GLOBAL BERHAD,0188.KL
340,HO HUP CONSTRUCTION COMPANY BHD,5169.KL
341,HO WAH GENTING BERHAD,9601.KL
342,HOMERITZ CORPORATION BERHAD,5160.KL
343,HONG LEONG BANK BERHAD,5819.KL
344,HONG LEONG CAPITAL BERHAD,5274.KL
345,HONG LEONG FINANCIAL GROUP BERHAD,1082.KL
346,HONG LEONG INDUSTRIES BERHAD,3301.KL
347,HONG SENG CONSOLIDATED BERHAD,0041.KL
348,HPMT HOLDINGS BERHAD,5291.KL
349,HPP HOLDINGS BERHAD,0228.KL
350,HSS ENGINEERS BERHAD,0185.KL
351,HUA YANG BERHAD,5062.KL
352,HUBLINE BERHAD,7013.KL
353,HUME CEMENT INDUSTRIES BERHAD,5000.KL
354,HUP SENG INDUSTRIES BERHAD,5024.KL
355,HWA TAI INDUSTRIES BERHAD,8478.KL
356,I-BERHAD,4251.KL
357,IBRACO BERHAD,5084.KL
358,ICAPITAL.BIZ BERHAD,5108.KL
359,ICON OFFSHORE BERHAD,5255.KL
360,ICONIC WORLDWIDE BERHAD,9113.KL
361,ICT ZONE ASIA BERHAD,03038.KL
362,IDB TECHNOLOGIES BERHAD,03030.KL
363,IDEAL UNITED BINTANG INTERNATIONAL BERHAD,9687.KL
364,IDIMENSION CONSOLIDATED BHD,0174.KL
365,IFCA MSC BERHAD,0023.KL
366,IGB BERHAD,5606.KL
367,IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,5299.KL
368,IGB REAL ESTATE INVESTMENT TRUST,5227.KL
369,IHH HEALTHCARE BERHAD,5225.KL
370,IJM CORPORATION BERHAD,3336.KL
371,IMASPRO CORPORATION BERHAD,7222.KL
372,IMPIANA HOTELS BERHAD,7243.KL
373,INARI AMERTRON BERHAD,0166.KL
374,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,2607.KL
375,INDUSTRONICS BERHAD,9393.KL
376,INNATURE BERHAD,5295.KL
377,INNITY CORPORATION BERHAD,0147.KL
378,INNOPRISE PLANTATIONS BERHAD,6262.KL
379,INSAS BERHAD,3379.KL
380,INTA BINA GROUP BERHAD,0192.KL
381,INTEGRATED LOGISTICS BHD,5614.KL
382,IOI CORPORATION BERHAD,1961.KL
383,IOI PROPERTIES GROUP BERHAD,5249.KL
384,IQ GROUP HOLDINGS BERHAD,5107.KL
385,IQZAN HOLDING BERHAD,7183.KL
386,IREKA CORPORATION BERHAD,8834.KL
387,IRIS CORPORATION BERHAD,0010.KL
388,ISKANDAR WATERFRONT CITY BERHAD,1589.KL
389,IVORY PROPERTIES GROUP BERHAD,5175.KL
390,JADE MARVEL GROUP BERHAD,7043.KL
391,JADI IMAGING HOLDINGS BERHAD,7223.KL
392,JAG BERHAD,0024.KL
