,quar_stock_code,quar_year,quar_eps,quar_dps,quar_roe(%)
427,0213,2021,0.049,0.04,17.5
428,0213,2022,0.044,0.03,14.8
429,0213,2023,0.018,0.01,5.8
430,0215,2020,0.034,0.0,19.6
431,0215,2021,0.039,0.01,16.6
432,0215,2022,0.01,0.0,4.1000000000000005
433,0215,2023,0.014,0.0,5.1
434,0216,2019,0.03,0.005,22.5
435,0216,2020,0.016,0.004,9.4
436,0216,2021,0.014,0.0,7.3
437,0216,2022,0.006,0.0,3.1
438,0218,2020,0.007,0.0,4.0
439,0218,2021,0.009,0.003,4.2
440,0218,2022,0.021,0.0,8.8
441,0218,2023,0.016,0.002,6.3
442,0219,2020,0.048,0.008,23.400000000000002
443,0219,2021,0.038,0.005,15.0
444,0219,2022,-0.021,0.0,-7.800000000000001
445,0221,2020,0.05,0.0,27.2
446,0221,2021,0.007,0.0,3.1
447,0221,2022,-0.01,0.0,-4.500000000000001
448,0222,2020,0.356,0.0,14.899999999999999
449,0222,2021,0.046,0.038,22.8
450,0222,2022,0.025,0.012,19.0
451,0225,2020,0.018,0.004,5.6
452,0225,2021,0.014,0.002,4.0
453,0225,2022,0.012,0.0,3.5
454,0227,2020,0.123,0.0,4.0
455,0227,2021,0.016,0.0,10.3
456,0227,2022,0.035,0.005,18.8
457,0227,2023,0.007,0.0,3.6
458,0228,2021,0.047,0.02,19.1
459,0228,2022,0.022,0.015,7.4
460,0228,2023,0.012,0.008,3.7
461,0229,2020,0.008,0.0,9.4
462,0229,2021,0.016,0.0,15.5
463,0229,2022,0.015,0.005,18.6
464,0230,2020,0.012,0.0,2.2
465,0230,2021,0.041,0.0,7.2
466,0230,2022,0.044,0.013,7.3
467,0231,2020,0.035,0.0,0.0
468,0231,2021,0.011,0.0,759.0999999999999
469,0231,2022,-0.005,0.0,-376.79999999999995
470,0232,2021,0.044,0.0,9.1
471,0232,2023,0.038,0.013,7.6
472,0237,2021,0.039,0.017,10.1
473,0237,2022,0.023,0.006,5.3
474,0238,2021,0.018,0.0,6.7
475,0238,2022,0.025,0.0,7.3999999999999995
476,0238,2023,0.005,0.0,1.5
477,0239,2022,0.013,0.0,5.600000000000001
478,0239,2023,0.014,0.005,14.3
479,0243,2022,0.012,0.004,26.700000000000003
480,0243,2023,0.004,0.0,3.9
481,0246,2022,0.047,0.006,15.8
482,0247,2022,0.008,0.0,4.4
483,0247,2023,0.009,0.0,4.2
484,0248,2022,0.0,0.003,0.7999999999999998
485,0251,2022,0.034,0.005,19.799999999999997
486,03005,2018,0.009,0.0,7.7
487,03005,2019,0.012,0.006,13.6
488,03005,2020,0.027,0.012,25.5
489,03005,2021,0.038,0.013,46.099999999999994
490,03005,2022,0.004,0.007,8.1
491,03006,2018,0.015,0.006,22.1
492,03006,2019,0.007,0.002,10.5
493,03006,2020,-0.004,0.0,-6.6
494,03006,2021,0.003,0.0,4.7
495,03006,2022,0.006,0.0,8.0
496,03008,2018,0.013,0.01,14.700000000000001
497,03008,2019,0.015,0.02,15.5
498,03008,2020,0.015,0.005,14.8
499,03008,2021,0.014,0.0,11.8
500,03008,2022,0.015,0.015,11.2
501,03011,2019,0.001,0.0,0.0
502,03011,2020,-0.009,0.0,-0.1
503,03011,2021,0.013,0.0,11.3
504,03011,2022,0.046,0.002,17.8
505,03011,2023,0.011,0.0,0.1
506,03012,2019,0.012,0.002,9.2
507,03012,2020,0.036,0.005,21.3
508,03012,2021,0.057,0.007,26.6
509,03012,2022,0.024,0.003,10.0
510,03013,2018,0.005,0.0,6.9
511,03013,2019,0.007,0.005,8.6
512,03013,2020,0.006,0.005,8.0
513,03013,2021,0.021,0.01,23.0
514,03013,2022,0.016,0.008,15.0
515,03015,2018,0.008,0.0,17.0
516,03015,2019,-0.002,0.006,-2.5
517,03015,2020,-0.011,0.0,-18.1
518,03015,2021,0.004,0.002,7.3
519,03015,2022,0.004,0.0,5.9
520,03016,2019,0.005,0.0,6.1
521,03016,2020,0.004,0.002,4.2
522,03016,2021,0.005,0.005,5.3
523,03016,2022,0.028,0.005,25.6
524,03017,2018,0.013,0.0,32.5
525,03017,2019,0.027,0.006,36.4
526,03017,2020,0.01,0.0,19.099999999999998
527,03017,2021,0.006,0.0,12.2
528,03017,2022,0.0,0.0,0.2
529,03018,2019,0.053,0.021,9.399999999999999
530,03018,2020,0.055,0.025,9.100000000000001
531,03018,2021,0.065,0.029,10.2
532,03018,2022,0.068,0.029,10.1
533,03019,2019,-0.002,0.002,-8.5
534,03019,2020,-0.012,0.0,-36.6
535,03019,2021,0.007,0.0,19.4
536,03019,2022,-0.001,0.0,-2.9
537,03023,2019,0.003,0.001,9.8
538,03023,2020,0.003,0.002,2.8
539,03023,2021,-0.003,0.0,-2.2
540,03023,2022,0.006,0.0,4.0
541,03024,2019,0.011,0.001,8.2
542,03024,2020,0.013,0.0,8.8
543,03024,2021,0.106,0.002,46.0
544,03024,2022,0.069,0.001,22.8
545,03025,2019,0.004,0.0,40.1
546,03025,2020,0.011,0.0,38.5
547,03025,2021,0.013,0.001,19.8
548,03025,2022,0.007,0.0,13.6
549,03026,2019,-0.013,0.0,-8.700000000000001
550,03026,2020,0.039,0.014,22.5
551,03026,2021,0.027,0.023,14.8
552,03026,2022,0.01,0.0,5.1
553,03027,2019,0.35,0.0,0.0
554,03027,2020,0.005,0.005,17.299999999999997
555,03027,2021,0.009,0.0,25.7
556,03027,2022,0.013,0.0,29.200000000000003
557,03028,2019,0.007,0.0,15.4
558,03028,2020,0.022,0.0,24.0
559,03028,2021,0.001,0.01,-0.20000000000000018
560,03028,2022,0.005,0.0,5.1
561,03031,2020,-0.011,0.0,-10.3
562,03031,2021,0.045,0.0,31.8
563,03031,2022,0.086,0.0,42.2
564,03033,2019,0.069,0.0,21.0
565,03033,2020,-0.024,0.003,-37.6
566,03033,2021,0.0,0.0,0.09999999999999964
567,03033,2022,0.001,0.0,1.0
568,03036,2020,0.019,0.008,45.3
569,03036,2021,0.037,0.014,46.8
570,03036,2022,0.032,0.014,32.2
571,03039,2021,0.005,0.0,3.5999999999999996
572,03039,2022,0.008,0.0,6.9
573,03041,2020,0.01,0.0,21.0
574,03041,2021,0.006,0.005,4.300000000000001
575,03041,2022,0.007,0.005,10.1
576,03043,2020,0.004,0.0,7.1
577,03043,2021,0.0,0.002,0.5
578,03043,2022,0.004,0.002,5.7
579,03047,2021,0.03,0.0,26.1
580,03047,2022,0.114,0.034,58.3
581,03049,2021,0.01,0.004,16.1
582,03049,2022,0.019,0.0,25.0
583,03050,2021,0.006,0.0,3.0
584,03050,2022,0.013,0.0,6.6
585,03051,2022,0.026,0.006,10.2
586,03054,2022,0.003,0.002,11.8
587,03054,2023,0.002,0.002,8.6
588,0800EA,2018,0.034,0.0,0.0
589,0800EA,2019,0.06,0.023,0.0
590,0800EA,2020,0.053,0.036,0.0
591,0800EA,2021,-0.027,0.037,0.0
592,0800EA,2022,-0.032,0.0,0.0
593,0820EA,2018,0.025,0.005,0.0
594,0820EA,2019,-0.002,0.005,0.0
595,0820EA,2020,-0.074,0.005,0.0
596,0820EA,2021,-0.07,0.028,0.0
597,0820EA,2022,-0.082,0.03,0.0
598,0821EA,2018,0.041,0.024,0.0
599,0821EA,2019,0.019,0.024,0.0
600,0821EA,2020,0.113,0.018,0.0
601,0821EA,2021,-0.194,0.024,0.0
602,0821EA,2022,-0.155,0.0,0.0
603,0822EA,2018,-0.001,0.001,-0.1
604,0822EA,2019,0.003,0.001,0.2
