,div_stock_code,div_year,div_status,dividend_y_%,div_dividend(RM)
258,0090,2019,Y,4.3870000000000005,0.03
259,0090,2020,Y,1.592,0.01
260,0090,2021,Y,1.705,0.015
261,0090,2022,Y,1.493,0.01
262,0091,2018,N,0.0,0.0
263,0091,2019,N,0.0,0.0
264,0091,2020,N,0.0,0.0
265,0091,2021,N,0.0,0.0
266,0091,2022,N,0.0,0.0
267,0092,2018,N,0.0,0.0
268,0092,2019,N,0.0,0.0
269,0092,2020,N,0.0,0.0
270,0092,2021,N,0.0,0.0
271,0092,2022,N,0.0,0.0
272,0093,2021,Y,4.396,0.02
273,0094,2018,N,0.0,0.0
274,0094,2019,N,0.0,0.0
275,0094,2020,N,0.0,0.0
276,0094,2021,N,0.0,0.0
277,0094,2022,N,0.0,0.0
278,0095,2018,N,0.0,0.0
279,0095,2019,N,0.0,0.0
280,0095,2020,N,0.0,0.0
281,0095,2021,N,0.0,0.0
282,0095,2022,N,0.0,0.0
283,0096,2018,N,0.0,0.0
284,0096,2019,N,0.0,0.0
285,0096,2020,N,0.0,0.0
286,0096,2021,N,0.0,0.0
287,0096,2022,N,0.0,0.0
288,0097,2018,Y,1.7349999999999999,0.0575
289,0097,2019,Y,0.9380000000000001,0.043
290,0097,2020,Y,0.78,0.057
291,0097,2021,Y,0.718,0.058300000000000005
292,0097,2022,Y,0.163,0.0125
293,0098,2018,N,0.0,0.0
294,0098,2019,N,0.0,0.0
295,0098,2020,N,0.0,0.0
296,0098,2021,N,0.0,0.0
297,0098,2022,N,0.0,0.0
298,0099,2018,Y,6.231,0.09
299,0099,2019,Y,6.232,0.055
300,0099,2020,Y,6.064,0.05
301,0099,2021,Y,6.214,0.06
302,0099,2022,Y,6.5440000000000005,0.07
303,0100,2018,Y,3.947,0.006
304,0100,2019,Y,7.143,0.006
305,0100,2020,Y,7.059,0.006
306,0100,2021,Y,7.61,0.05
307,0101,2018,Y,0.25,0.0018
308,0101,2019,Y,0.357,0.002
309,0101,2020,Y,0.299,0.0017
310,0101,2021,Y,0.406,0.0022
311,0101,2022,Y,0.454,0.0027
312,0102,2018,N,0.0,0.0
313,0102,2019,N,0.0,0.0
314,0102,2020,N,0.0,0.0
315,0102,2021,N,0.0,0.0
316,0102,2022,N,0.0,0.0
317,0103,2018,N,0.0,0.0
318,0103,2019,N,0.0,0.0
319,0103,2020,N,0.0,0.0
320,0103,2021,N,0.0,0.0
321,0103,2022,N,0.0,0.0
322,0104,2019,Y,38.68,0.05
323,0105,2018,Y,5.556,0.005
324,0106,2018,Y,4.717,0.03
325,0106,2019,Y,6.024,0.03
326,0106,2020,Y,5.464,0.03
327,0106,2021,Y,4.92,0.04
328,0106,2022,Y,4.711,0.04
329,0107,2018,N,0.0,0.0
330,0107,2019,N,0.0,0.0
331,0107,2020,N,0.0,0.0
332,0107,2021,N,0.0,0.0
333,0107,2022,N,0.0,0.0
334,0108,2018,Y,4.852,0.04
335,0108,2019,Y,3.5540000000000003,0.02
336,0108,2020,Y,6.647,0.045
337,0108,2021,Y,2.95,0.02
338,0108,2022,Y,1.98,0.01
339,0109,2018,N,0.0,0.0
340,0109,2019,N,0.0,0.0
341,0109,2020,N,0.0,0.0
342,0109,2021,N,0.0,0.0
343,0109,2022,N,0.0,0.0
344,0111,2018,N,0.0,0.0
345,0111,2019,N,0.0,0.0
346,0111,2020,N,0.0,0.0
347,0111,2021,N,0.0,0.0
348,0111,2022,N,0.0,0.0
349,0112,2018,Y,3.459,0.01
350,0112,2019,Y,1.345,0.003
351,0112,2020,Y,0.234,0.0005
352,0112,2021,Y,0.263,0.0005
353,0112,2022,Y,0.256,0.0005
354,0113,2018,Y,2.192,0.02
355,0113,2019,Y,4.8309999999999995,0.02
356,0113,2020,Y,1.631,0.01
357,0113,2021,Y,2.306,0.02
358,0113,2022,Y,1.25,0.01
359,0116,2018,N,0.0,0.0
360,0116,2019,N,0.0,0.0
361,0116,2020,N,0.0,0.0
362,0116,2021,N,0.0,0.0
363,0116,2022,N,0.0,0.0
364,0117,2018,N,0.0,0.0
365,0117,2019,N,0.0,0.0
366,0117,2020,N,0.0,0.0
367,0117,2021,N,0.0,0.0
368,0117,2022,N,0.0,0.0
369,0118,2018,N,0.0,0.0
370,0118,2019,N,0.0,0.0
371,0118,2020,N,0.0,0.0
372,0118,2021,N,0.0,0.0
373,0118,2022,N,0.0,0.0
374,0119,2018,N,0.0,0.0
375,0119,2019,N,0.0,0.0
376,0119,2020,N,0.0,0.0
377,0119,2021,N,0.0,0.0
378,0119,2022,N,0.0,0.0
379,0120,2018,Y,2.755,0.01
380,0120,2019,Y,2.075,0.01
381,0120,2020,Y,0.734,0.01
382,0120,2022,Y,1.948,0.015
383,0122,2018,N,0.0,0.0
384,0122,2019,N,0.0,0.0
385,0122,2020,N,0.0,0.0
386,0122,2021,N,0.0,0.0
387,0122,2022,N,0.0,0.0
388,0123,2018,N,0.0,0.0
389,0123,2019,N,0.0,0.0
390,0123,2020,N,0.0,0.0
391,0123,2021,N,0.0,0.0
392,0123,2022,N,0.0,0.0
393,0126,2020,Y,2.358,0.01
394,0126,2021,Y,2.016,0.01
395,0127,2018,Y,1.953,0.02
396,0127,2019,Y,1.915,0.02
397,0127,2020,Y,0.548,0.01
398,0128,2018,Y,2.642,0.015
399,0128,2019,Y,2.6959999999999997,0.025
400,0128,2020,Y,1.389,0.04
401,0128,2021,Y,1.317,0.04
402,0128,2022,Y,0.559,0.016
403,0129,2018,N,0.0,0.0
404,0129,2019,N,0.0,0.0
405,0129,2020,N,0.0,0.0
406,0129,2021,N,0.0,0.0
407,0129,2022,N,0.0,0.0
408,0131,2020,Y,4.706,0.004
409,0132,2018,N,0.0,0.0
410,0132,2019,N,0.0,0.0
411,0132,2020,N,0.0,0.0
412,0132,2021,N,0.0,0.0
413,0132,2022,N,0.0,0.0
414,0133,2018,N,0.0,0.0
415,0133,2019,N,0.0,0.0
416,0133,2020,N,0.0,0.0
417,0133,2021,N,0.0,0.0
418,0133,2022,N,0.0,0.0
419,0136,2019,Y,1.562,0.002
420,0136,2021,Y,1.176,0.003
421,0138,2018,Y,2.522,0.019
422,0138,2019,Y,3.5759999999999996,0.025
423,0138,2020,Y,2.9139999999999997,0.022000000000000002
424,0138,2021,Y,1.561,0.0128
425,0138,2022,Y,0.298,0.0025
426,0140,2018,N,0.0,0.0
427,0140,2019,N,0.0,0.0
428,0140,2020,N,0.0,0.0
429,0140,2021,N,0.0,0.0
430,0140,2022,N,0.0,0.0
431,0143,2018,N,0.0,0.0
432,0143,2019,N,0.0,0.0
433,0143,2020,N,0.0,0.0
434,0143,2021,N,0.0,0.0
435,0143,2022,N,0.0,0.0
436,0145,2018,N,0.0,0.0
437,0145,2019,N,0.0,0.0
438,0145,2020,N,0.0,0.0
439,0145,2021,N,0.0,0.0
440,0145,2022,N,0.0,0.0
441,0146,2019,Y,1.553,0.005
442,0146,2020,Y,1.911,0.015
443,0146,2021,Y,0.717,0.01
444,0146,2022,Y,1.221,0.01
445,0147,2018,N,0.0,0.0
446,0147,2019,N,0.0,0.0
447,0147,2020,N,0.0,0.0
448,0147,2021,N,0.0,0.0
449,0147,2022,N,0.0,0.0
450,0148,2018,N,0.0,0.0
451,0148,2019,N,0.0,0.0
452,0148,2020,N,0.0,0.0
453,0148,2021,N,0.0,0.0
454,0148,2022,N,0.0,0.0
455,0149,2018,Y,1.494,0.0075
456,0149,2019,Y,1.973,0.0072
457,0149,2020,Y,1.895,0.0054
458,0149,2021,Y,1.213,0.0045
459,0149,2022,Y,2.329,0.0085
460,0150,2018,N,0.0,0.0
461,0150,2019,N,0.0,0.0
462,0150,2020,N,0.0,0.0
463,0150,2021,N,0.0,0.0
464,0150,2022,N,0.0,0.0
465,0151,2018,Y,3.395,0.018000000000000002
466,0151,2019,Y,3.691,0.02
