,EPS,DPS,NTA,Revenue,P/L,Quarter,Q Date,Financial Year,Announced,ROE,Stock Code,Year
2563,1.40,0.000,1.4900,543.18m,41.17m,2,2019-04-30,2019-10-31,2019-06-27,0.9%,8206,2019
2564,1.03,0.000,1.4800,491.23m,30.32m,1,2019-01-31,2019-10-31,2019-03-28,0.7%,8206,2019
2565,2.33,0.000,1.5000,607.58m,68.53m,4,2018-10-31,2018-10-31,2018-12-13,1.6%,8206,2018
2566,1.31,0.000,1.4700,490.05m,38.52m,3,2018-07-31,2018-10-31,2018-09-20,0.9%,8206,2018
2567,1.17,0.000,1.4600,498.69m,34.45m,2,2018-04-30,2018-10-31,2018-06-28,0.8%,8206,2018
2568,0.82,0.000,1.4500,563.59m,24.09m,1,2018-01-31,2018-10-31,2018-03-29,0.6%,8206,2018
2569,-3.99,0.000,1.0200,43.15m,-95.73m,4,2022-10-31,2022-10-31,2022-12-15,-3.9%,5283,2022
2570,-2.36,0.000,1.0500,34.50m,-56.68m,3,2022-07-31,2022-10-31,2022-09-14,-2.2%,5283,2022
2571,-2.81,0.000,1.0800,33.08m,-67.35m,2,2022-04-30,2022-10-31,2022-06-15,-2.6%,5283,2022
2572,-0.61,0.000,1.1400,49.24m,-14.66m,1,2022-01-31,2022-10-31,2022-03-16,-0.5%,5283,2022
2573,-2.34,0.000,1.1700,34.75m,-56.26m,4,2021-10-31,2021-10-31,2021-12-16,-2.0%,5283,2021
2574,0.10,0.000,1.2400,127.13m,2.49m,3,2021-07-31,2021-10-31,2021-09-17,0.1%,5283,2021
2575,0.47,5.000,1.2500,107.56m,11.30m,2,2021-04-30,2021-10-31,2021-06-24,0.4%,5283,2021
2576,2.33,1.000,1.2100,303.28m,56.03m,1,2021-01-31,2021-10-31,2021-03-25,1.9%,5283,2021
2577,0.73,0.000,1.1400,57.38m,17.44m,4,2020-10-31,2020-10-31,2020-12-17,0.6%,5283,2020
2578,1.57,0.000,1.1800,615.44m,37.63m,3,2020-07-31,2020-10-31,2020-09-24,1.3%,5283,2020
2579,0.84,0.000,1.1200,113.00k,20.06m,2,2020-04-30,2020-10-31,2020-06-25,0.8%,5283,2020
2580,0.22,0.000,1.1100,51.00k,5.19m,1,2020-01-31,2020-10-31,2020-03-26,0.2%,5283,2020
2581,4.93,0.000,1.1200,254.00k,118.29m,4,2019-10-31,2019-10-31,2019-12-12,4.4%,5283,2019
2582,2.41,0.000,1.0000,224.00k,57.94m,3,2019-07-31,2019-10-31,2019-09-19,2.4%,5283,2019
2583,-0.50,0.000,1.0400,,-11.98m,2,2019-04-30,2019-10-31,2019-06-27,-0.5%,5283,2019
2584,0.95,0.000,1.0500,,22.76m,1,2019-01-31,2019-10-31,2019-03-28,0.9%,5283,2019
2585,2.92,0.000,1.0400,4.89m,70.08m,4,2018-10-31,2018-10-31,2018-12-13,2.8%,5283,2018
2586,0.44,0.000,1.0100,,10.44m,3,2018-07-31,2018-10-31,2018-09-20,0.4%,5283,2018
2587,-1.21,0.000,1.0100,,-29.08m,2,2018-04-30,2018-10-31,2018-06-28,-1.2%,5283,2018
2588,-0.68,0.000,1.0400,18.00k,-16.21m,1,2018-01-31,2018-10-31,2018-03-29,-0.7%,5283,2018
2589,0.34,0.000,0.1000,13.17m,1.21m,3,2022-11-30,2023-02-28,2023-01-31,3.4%,0239,2023
2590,0.45,0.000,0.1000,13.09m,1.58m,2,2022-08-31,2023-02-28,2022-10-26,4.5%,0239,2023
2591,0.58,0.500,0.0900,13.53m,2.03m,1,2022-05-31,2023-02-28,2022-07-28,6.4%,0239,2023
2592,1.11,0.000,0.0900,17.79m,3.88m,4,2022-02-28,2022-02-28,2022-04-25,12.3%,0239,2022
2593,0.75,0.000,0.0900,15.68m,2.62m,3,2021-11-30,2022-02-28,2022-01-10,8.3%,0239,2022
2594,-0.60,0.000,0.0400,6.45m,-1.81m,2,2021-08-31,2022-02-28,2021-11-03,-15.0%,0239,2022
2595,0.72,0.000,0.2027,16.87m,2.33m,1,2022-11-30,2023-08-31,2023-01-17,3.6%,0227,2023
2596,0.91,0.000,0.1955,16.32m,2.97m,4,2022-08-31,2022-08-31,2022-10-21,4.7%,0227,2022
2597,0.93,0.000,0.1864,15.09m,3.03m,3,2022-05-31,2022-08-31,2022-07-22,5.0%,0227,2022
2598,0.80,0.500,0.1821,14.68m,2.58m,2,2022-02-28,2022-08-31,2022-04-22,4.4%,0227,2022
2599,0.82,0.000,0.1741,13.30m,2.66m,1,2021-11-30,2022-08-31,2022-01-25,4.7%,0227,2022
2600,0.02,0.000,0.1659,4.98m,50.00k,4,2021-08-31,2021-08-31,2021-10-25,0.1%,0227,2021
2601,0.53,0.000,0.1654,12.57m,1.74m,3,2021-05-31,2021-08-31,2021-07-26,3.2%,0227,2021
2602,0.52,0.000,0.1600,11.86m,1.69m,2,2021-02-28,2021-08-31,2021-04-26,3.3%,0227,2021
2603,0.58,0.000,0.1547,11.57m,1.64m,1,2020-11-30,2021-08-31,2021-01-25,3.7%,0227,2021
2604,0.43,0.000,0.1205,10.64m,1.13m,4,2020-08-31,2020-08-31,2020-10-26,3.6%,0227,2020
2605,11.91,0.000,27.4727,4.78m,131.00k,3,2020-05-31,2020-08-31,2020-10-22,0.4%,0227,2020
2606,-0.34,0.000,0.2800,81.86m,-4.83m,1,2022-09-30,2023-06-30,2022-11-28,-1.2%,5253,2023
2607,-0.94,0.000,0.2800,98.47m,-13.35m,4,2022-06-30,2022-06-30,2022-08-29,-3.4%,5253,2022
2608,-1.14,0.000,0.2900,92.04m,-16.23m,3,2022-03-31,2022-06-30,2022-05-25,-3.9%,5253,2022
2609,-0.38,0.000,0.3000,96.90m,-5.38m,2,2021-12-31,2022-06-30,2022-02-23,-1.3%,5253,2022
2610,-0.41,0.000,0.3100,86.00m,-5.80m,1,2021-09-30,2022-06-30,2021-11-29,-1.3%,5253,2022
2611,0.07,0.000,0.3100,93.89m,1.01m,4,2021-06-30,2021-06-30,2021-09-29,0.2%,5253,2021
2612,0.19,0.000,0.3100,129.60m,2.61m,3,2021-03-31,2021-06-30,2021-05-27,0.6%,5253,2021
2613,0.14,0.000,0.3100,94.94m,1.83m,2,2020-12-31,2021-06-30,2021-02-24,0.5%,5253,2021
2614,0.42,0.000,0.3000,101.96m,5.59m,1,2020-09-30,2021-06-30,2020-11-26,1.4%,5253,2021
2615,-1.23,0.000,0.2900,30.66m,-16.49m,4,2020-06-30,2020-06-30,2020-08-26,-4.2%,5253,2020
2616,0.10,0.000,0.3000,99.30m,1.32m,3,2020-03-31,2020-06-30,2020-05-28,0.3%,5253,2020
2617,0.65,0.000,0.3000,137.70m,8.66m,2,2019-12-31,2020-06-30,2020-02-25,2.2%,5253,2020
2618,0.66,0.000,0.3000,135.36m,8.85m,1,2019-09-30,2020-06-30,2019-11-27,2.2%,5253,2020
2619,1.73,0.500,0.3000,176.60m,23.17m,4,2019-06-30,2019-06-30,2019-08-28,5.8%,5253,2019
2620,1.63,0.000,0.2800,138.26m,21.75m,3,2019-03-31,2019-06-30,2019-05-27,5.8%,5253,2019
2621,-2.58,0.000,0.2600,148.18m,-34.45m,2,2018-12-31,2019-06-30,2019-02-25,-9.9%,5253,2019
2622,1.12,0.000,0.2900,200.30m,15.04m,1,2018-09-30,2019-06-30,2018-11-26,3.9%,5253,2019
2623,1.46,0.000,0.2800,192.28m,19.46m,4,2018-06-30,2018-06-30,2018-08-29,5.2%,5253,2018
2624,1.77,1.000,0.2700,205.05m,23.72m,3,2018-03-31,2018-06-30,2018-05-23,6.6%,5253,2018
2625,1.70,0.000,0.2500,162.17m,22.73m,2,2017-12-31,2018-06-30,2018-02-26,6.8%,5253,2018
2626,3.96,1.500,0.6100,168.90m,21.19m,1,2017-09-30,2018-06-30,2017-11-22,6.5%,5253,2018
2627,-1.68,0.000,0.4704,11.31m,-971.00k,1,2022-09-30,2023-06-30,2022-11-30,-3.6%,5036,2023
2628,0.35,0.000,0.4865,10.90m,201.00k,4,2022-06-30,2022-06-30,2022-08-30,0.7%,5036,2022
2629,0.10,1.750,0.4832,11.47m,57.00k,3,2022-03-31,2022-06-30,2022-05-25,0.2%,5036,2022
2630,0.21,0.000,0.4991,16.39m,123.00k,2,2021-12-31,2022-06-30,2022-02-23,0.4%,5036,2022
2631,0.24,0.000,0.4095,9.17m,140.00k,1,2021-09-30,2022-06-30,2021-11-30,0.6%,5036,2022
2632,-1.33,0.000,0.4072,14.67m,-773.00k,4,2021-06-30,2021-06-30,2021-09-28,-3.3%,5036,2021
2633,1.99,0.000,0.4202,11.44m,1.16m,3,2021-03-31,2021-06-30,2021-05-27,4.7%,5036,2021
2634,1.95,1.750,0.4178,11.00m,1.13m,2,2020-12-31,2021-06-30,2021-02-24,4.7%,5036,2021
2635,1.76,0.000,0.3990,13.05m,1.02m,1,2020-09-30,2021-06-30,2020-11-24,4.4%,5036,2021
2636,3.41,0.000,0.3820,12.91m,1.98m,4,2020-06-30,2020-06-30,2020-08-26,8.9%,5036,2020
2637,-8.80,0.000,0.3490,12.83m,-5.09m,3,2020-03-31,2020-06-30,2020-06-24,-25.2%,5036,2020
2638,0.74,0.000,0.4352,12.70m,429.00k,2,2019-12-31,2020-06-30,2020-02-26,1.7%,5036,2020
2639,-1.12,0.000,0.4112,6.94m,-647.00k,1,2019-09-30,2020-06-30,2019-11-27,-2.7%,5036,2020
2640,-11.25,0.000,0.3871,8.93m,-6.51m,4,2019-06-30,2019-06-30,2019-08-27,-29.1%,5036,2019
2641,0.77,0.000,0.0000,9.67m,443.00k,3,2019-03-31,2019-06-30,2019-05-30,-%,5036,2019
2642,0.84,0.000,0.5221,14.03m,485.00k,2,2018-12-31,2019-06-30,2019-02-27,1.6%,5036,2019
2643,1.00,0.000,0.5141,21.46m,577.00k,1,2018-09-30,2019-06-30,2018-11-26,1.9%,5036,2019
2644,5.66,0.000,0.5224,21.23m,3.28m,4,2018-06-30,2018-06-30,2018-08-28,10.8%,5036,2018
2645,4.58,0.000,0.5567,76.38m,2.65m,3,2018-03-31,2018-06-30,2018-05-31,8.2%,5036,2018
2646,1.08,0.000,0.5154,34.40m,623.00k,2,2017-12-31,2018-06-30,2018-02-14,2.1%,5036,2018
2647,1.12,0.000,0.5082,18.07m,648.00k,1,2017-09-30,2018-06-30,2017-11-27,2.2%,5036,2018
2648,1.06,1.500,0.8000,78.90m,2.76m,4,2022-09-30,2022-09-30,2022-11-24,1.3%,5208,2022
2649,1.93,0.000,0.8100,79.68m,5.02m,3,2022-06-30,2022-09-30,2022-08-22,2.4%,5208,2022
2650,1.34,1.750,0.7900,84.29m,3.50m,2,2022-03-31,2022-09-30,2022-05-25,1.7%,5208,2022
2651,2.86,0.000,0.7900,120.71m,7.43m,1,2021-12-31,2022-09-30,2022-02-25,3.6%,5208,2022
2652,2.25,1.500,0.7600,89.43m,5.85m,4,2021-09-30,2021-09-30,2021-11-25,3.0%,5208,2021
2653,1.54,0.000,0.7600,66.36m,4.01m,3,2021-06-30,2021-09-30,2021-08-24,2.0%,5208,2021
2654,1.54,1.500,0.7400,80.37m,4.00m,2,2021-03-31,2021-09-30,2021-05-20,2.1%,5208,2021
2655,4.64,0.000,1.4800,66.15m,6.03m,1,2020-12-31,2021-09-30,2021-02-22,3.1%,5208,2021
2656,3.26,3.000,1.4200,78.56m,4.23m,4,2020-09-30,2020-09-30,2020-11-20,2.3%,5208,2020
2657,1.39,3.000,1.4200,60.07m,1.81m,3,2020-06-30,2020-09-30,2020-08-17,1.0%,5208,2020
2658,3.98,0.000,1.4000,75.58m,5.18m,2,2020-03-31,2020-09-30,2020-05-29,2.8%,5208,2020
2659,4.67,0.000,1.3800,70.02m,6.07m,1,2019-12-31,2020-09-30,2020-02-26,3.4%,5208,2020
2660,4.50,3.000,1.3300,105.23m,5.85m,4,2019-09-30,2019-09-30,2019-11-25,3.4%,5208,2019
2661,5.32,3.000,1.3400,81.07m,6.92m,3,2019-06-30,2019-09-30,2019-08-27,4.0%,5208,2019
2662,4.95,0.000,1.3100,67.46m,6.43m,2,2019-03-31,2019-09-30,2019-05-24,3.8%,5208,2019
2663,1.26,0.000,1.2600,51.63m,1.64m,1,2018-12-31,2019-09-30,2019-02-27,1.0%,5208,2019
2664,4.47,3.000,1.2900,63.98m,5.82m,4,2018-09-30,2018-09-30,2018-11-23,3.5%,5208,2018
2665,2.81,4.000,1.2900,67.84m,3.65m,3,2018-06-30,2018-09-30,2018-08-20,2.2%,5208,2018
2666,2.73,0.000,1.2600,61.45m,3.55m,2,2018-03-31,2018-09-30,2018-05-28,2.2%,5208,2018
2667,5.44,0.000,1.2600,70.11m,7.07m,1,2017-12-31,2018-09-30,2018-02-23,4.3%,5208,2018
2668,0.01,0.000,0.8900,322.90m,182.00k,1,2022-09-30,2023-06-30,2022-11-30,0.0%,8877,2023
2669,-4.59,0.000,0.8900,224.49m,-123.81m,4,2022-06-30,2022-06-30,2022-08-30,-5.2%,8877,2022
2670,-0.30,0.000,0.9400,168.28m,-7.96m,3,2022-03-31,2022-06-30,2022-05-31,-0.3%,8877,2022
2671,0.48,0.000,0.9400,235.97m,12.90m,2,2021-12-31,2022-06-30,2022-02-28,0.5%,8877,2022
2672,-0.23,0.000,0.9375,179.86m,-6.11m,1,2021-09-30,2022-06-30,2021-11-30,-0.2%,8877,2022
2673,-0.10,0.000,0.9397,376.17m,-2.66m,4,2021-06-30,2021-06-30,2021-09-21,-0.1%,8877,2021
2674,1.02,0.000,0.9330,304.51m,27.54m,3,2021-03-31,2021-06-30,2021-05-28,1.1%,8877,2021
2675,0.28,0.000,0.9300,358.95m,7.64m,2,2020-12-31,2021-06-30,2021-02-25,0.3%,8877,2021
2676,0.40,0.000,0.9300,313.77m,10.86m,1,2020-09-30,2021-06-30,2020-11-27,0.4%,8877,2021
2677,-2.03,0.500,0.9300,192.30m,-53.82m,4,2020-06-30,2020-06-30,2020-08-27,-2.2%,8877,2020
2678,0.32,0.000,0.9500,344.88m,8.43m,3,2020-03-31,2020-06-30,2020-06-12,0.3%,8877,2020
2679,1.09,0.000,0.9600,384.31m,29.03m,2,2019-12-31,2020-06-30,2020-02-25,1.1%,8877,2020
2680,2.39,0.000,0.9500,346.80m,63.32m,1,2019-09-30,2020-06-30,2019-11-26,2.5%,8877,2020
2681,0.88,1.000,0.9200,338.50m,23.30m,4,2019-06-30,2019-06-30,2019-08-30,1.0%,8877,2019
2682,1.37,0.000,1.0000,330.61m,29.40m,3,2019-03-31,2019-06-30,2019-05-29,1.4%,8877,2019
2683,2.05,0.000,0.9800,361.18m,43.91m,2,2018-12-31,2019-06-30,2019-02-27,2.1%,8877,2019
2684,2.05,0.000,0.9600,304.89m,43.87m,1,2018-09-30,2019-06-30,2018-11-30,2.1%,8877,2019
2685,0.06,1.000,0.9300,302.68m,1.22m,4,2018-06-30,2018-06-30,2018-08-30,0.1%,8877,2018
2686,0.87,0.000,0.9300,220.52m,18.60m,3,2018-03-31,2018-06-30,2018-06-05,0.9%,8877,2018
2687,2.57,0.000,0.9400,297.88m,54.93m,2,2017-12-31,2018-06-30,2018-02-27,2.7%,8877,2018
2688,1.87,0.000,0.9200,230.64m,39.91m,1,2017-09-30,2018-06-30,2017-11-28,2.0%,8877,2018
2689,2.09,0.000,2.4000,24.67m,3.37m,2,2022-09-30,2023-03-31,2022-11-23,0.9%,9016,2023
2690,-9.02,0.000,2.3800,17.94m,-14.57m,1,2022-06-30,2023-03-31,2022-08-23,-3.8%,9016,2023
2691,-15.03,0.000,2.4900,26.40m,-24.27m,4,2022-03-31,2022-03-31,2022-05-30,-6.0%,9016,2022
2692,10.99,0.000,2.6600,18.94m,17.75m,3,2021-12-31,2022-03-31,2022-02-23,4.1%,9016,2022
2693,-7.01,0.000,2.4100,31.03m,-11.31m,2,2021-09-30,2022-03-31,2021-11-22,-2.9%,9016,2022
2694,4.72,0.000,2.4800,20.97m,7.62m,1,2021-06-30,2022-03-31,2021-08-26,1.9%,9016,2022
2695,-1.31,0.000,2.4400,12.31m,-2.11m,4,2021-03-31,2021-03-31,2021-06-28,-0.5%,9016,2021
2696,4.66,0.000,2.4900,20.26m,7.45m,3,2020-12-31,2021-03-31,2021-02-23,1.9%,9016,2021
2697,-1.90,0.000,2.4400,7.39m,-3.03m,2,2020-09-30,2021-03-31,2020-11-26,-0.8%,9016,2021
2698,2.47,0.000,2.4700,2.98m,3.95m,1,2020-06-30,2021-03-31,2020-08-27,1.0%,9016,2021
2699,-25.60,0.000,2.4000,24.60m,-40.95m,4,2020-03-31,2020-03-31,2020-08-12,-10.7%,9016,2020
2700,0.69,0.000,2.6800,9.61m,1.10m,3,2019-12-31,2020-03-31,2020-02-25,0.3%,9016,2020
2701,0.43,0.000,2.6600,3.07m,681.00k,2,2019-09-30,2020-03-31,2019-11-28,0.2%,9016,2020
2702,1.94,0.000,2.6600,2.10m,3.11m,1,2019-06-30,2020-03-31,2019-08-28,0.7%,9016,2020
2703,-5.06,0.000,2.6300,2.48m,-8.10m,4,2019-03-31,2019-03-31,2019-05-29,-1.9%,9016,2019
2704,-6.56,0.000,2.7200,10.53m,-10.43m,3,2018-12-31,2019-03-31,2019-02-27,-2.4%,9016,2019
2705,1.41,0.000,2.7700,32.87m,2.26m,2,2018-09-30,2019-03-31,2018-11-26,0.5%,9016,2019
2706,2.66,0.000,2.7600,21.39m,4.26m,1,2018-06-30,2019-03-31,2018-08-27,1.0%,9016,2019
2707,-3.80,0.000,2.7700,38.78m,-6.09m,4,2018-03-31,2018-03-31,2018-05-31,-1.4%,9016,2018
2708,-2.97,0.000,2.8100,47.51m,-4.77m,3,2017-12-31,2018-03-31,2018-02-28,-1.1%,9016,2018
2709,0.05,0.000,2.8300,13.71m,81.00k,2,2017-09-30,2018-03-31,2017-11-28,0.0%,9016,2018
2710,-5.35,0.000,2.8300,49.31m,-8.61m,1,2017-06-30,2018-03-31,2017-08-25,-1.9%,9016,2018
2711,3.80,4.500,1.5400,36.04m,11.53m,2,2022-09-30,2023-03-31,2022-11-16,2.5%,5228,2023
2712,5.83,0.000,1.5000,38.96m,17.59m,1,2022-06-30,2023-03-31,2022-08-19,3.9%,5228,2023
2713,1.86,3.250,1.5000,35.96m,5.54m,4,2022-03-31,2022-03-31,2022-05-20,1.2%,5228,2022
2714,3.53,0.000,1.4900,38.20m,10.52m,3,2021-12-31,2022-03-31,2022-02-18,2.4%,5228,2022
2715,1.60,2.000,1.4700,23.36m,4.75m,2,2021-09-30,2022-03-31,2021-11-18,1.1%,5228,2022
2716,1.67,0.000,1.4500,31.37m,4.97m,1,2021-06-30,2022-03-31,2021-08-19,1.2%,5228,2022
2717,4.77,4.750,1.4900,38.75m,14.16m,4,2021-03-31,2021-03-31,2021-05-20,3.2%,5228,2021
2718,3.06,0.000,1.4400,37.21m,9.08m,3,2020-12-31,2021-03-31,2021-02-18,2.1%,5228,2021
2719,3.63,2.500,1.4300,37.39m,10.80m,2,2020-09-30,2021-03-31,2020-11-19,2.5%,5228,2021
2720,0.77,0.000,1.4000,30.40m,2.30m,1,2020-06-30,2021-03-31,2020-08-13,0.6%,5228,2021
2721,2.21,3.750,1.4300,37.50m,6.57m,4,2020-03-31,2020-03-31,2020-06-09,1.5%,5228,2020
2722,3.17,0.000,1.4100,38.65m,9.43m,3,2019-12-31,2020-03-31,2020-02-18,2.2%,5228,2020
2723,3.24,3.500,1.4100,36.62m,9.62m,2,2019-09-30,2020-03-31,2019-11-19,2.3%,5228,2020
2724,3.13,0.000,1.3800,35.19m,9.28m,1,2019-06-30,2020-03-31,2019-08-22,2.3%,5228,2020
2725,2.87,3.500,1.3900,32.46m,8.51m,4,2019-03-31,2019-03-31,2019-05-21,2.1%,5228,2019
2726,2.61,0.000,1.3600,31.11m,7.71m,3,2018-12-31,2019-03-31,2019-02-21,1.9%,5228,2019
2727,2.94,3.500,1.3800,31.00m,8.62m,2,2018-09-30,2019-03-31,2018-11-13,2.1%,5228,2019
2728,2.80,0.000,1.3900,28.82m,8.07m,1,2018-06-30,2019-03-31,2018-08-16,2.0%,5228,2019
2729,2.77,3.500,1.3900,27.70m,7.91m,4,2018-03-31,2018-03-31,2018-05-24,2.0%,5228,2018
2730,2.46,0.000,1.3600,25.90m,7.00m,3,2017-12-31,2018-03-31,2018-02-22,1.8%,5228,2018
2731,2.43,3.250,1.4000,24.96m,5.96m,2,2017-09-30,2018-03-31,2017-11-16,1.7%,5228,2018
2732,2.19,0.000,1.4600,25.57m,5.05m,1,2017-06-30,2018-03-31,2017-08-18,1.5%,5228,2018
2733,0.53,0.000,0.1700,7.21m,3.61m,3,2022-09-30,2022-12-31,2022-11-21,3.1%,0090,2022
2734,0.75,1.000,0.1600,9.07m,5.10m,2,2022-06-30,2022-12-31,2022-08-19,4.7%,0090,2022
2735,0.43,0.000,0.1700,6.98m,2.91m,1,2022-03-31,2022-12-31,2022-04-29,2.5%,0090,2022
2736,0.84,1.000,0.1600,12.90m,5.66m,4,2021-12-31,2021-12-31,2022-02-18,5.3%,0090,2021
2737,0.44,0.000,0.1600,6.93m,2.98m,3,2021-09-30,2021-12-31,2021-11-19,2.8%,0090,2021
2738,0.29,0.500,0.1500,5.36m,1.94m,2,2021-06-30,2021-12-31,2021-08-20,1.9%,0090,2021
2739,0.07,0.000,0.1500,3.99m,450.00k,1,2021-03-31,2021-12-31,2021-05-28,0.5%,0090,2021
2740,-0.49,0.500,0.1500,4.93m,-3.32m,4,2020-12-31,2020-12-31,2021-02-24,-3.3%,0090,2020
2741,0.41,0.000,0.1600,4.73m,2.76m,3,2020-09-30,2020-12-31,2020-11-20,2.6%,0090,2020
2742,0.17,0.250,0.1600,4.20m,1.15m,2,2020-06-30,2020-12-31,2020-08-28,1.1%,0090,2020
2743,0.02,0.250,0.1500,4.27m,106.00k,1,2020-03-31,2020-12-31,2020-05-22,0.1%,0090,2020
2744,0.57,0.500,0.1700,6.25m,3.82m,4,2019-12-31,2019-12-31,2020-02-26,3.4%,0090,2019
2745,0.41,0.500,0.1600,4.85m,2.76m,3,2019-09-30,2019-12-31,2019-11-22,2.6%,0090,2019
2746,0.94,1.000,0.1700,12.33m,6.29m,2,2019-06-30,2019-12-31,2019-08-16,5.5%,0090,2019
2747,0.73,1.000,0.1800,10.11m,4.89m,1,2019-03-31,2019-12-31,2019-05-27,4.1%,0090,2019
2748,0.93,1.250,0.1700,13.05m,6.17m,4,2018-12-31,2018-12-31,2019-02-22,5.5%,0090,2018
2749,2.06,1.250,0.1700,24.46m,13.65m,3,2018-09-30,2018-12-31,2018-11-16,12.1%,0090,2018
2750,4.35,3.000,0.3900,24.15m,12.01m,2,2018-06-30,2018-12-31,2018-08-17,11.2%,0090,2018
2751,2.94,2.000,0.4000,16.49m,8.09m,1,2018-03-31,2018-12-31,2018-05-25,7.4%,0090,2018
2752,0.69,0.000,0.0509,50.44m,3.21m,1,2022-06-30,2022-12-31,2022-08-30,13.6%,03025,2022
2753,0.60,0.070,0.0320,49.44m,2.56m,2,2021-12-31,2021-12-31,2022-02-28,18.8%,03025,2021
2754,0.73,0.070,0.7300,49.72m,3.41m,1,2021-06-30,2021-12-31,2021-09-30,1.0%,03025,2021
2755,0.77,0.000,0.0319,54.40m,3.57m,2,2020-12-31,2020-12-31,2021-03-31,24.1%,03025,2020
2756,0.35,0.000,0.0243,23.69m,1.65m,1,2020-06-30,2020-12-31,2020-08-28,14.4%,03025,2020
2757,0.09,0.000,0.0217,30.20m,429.00k,2,2019-12-31,2019-12-31,2020-02-28,4.1%,03025,2019
2758,0.36,0.000,0.0100,20.94m,1.67m,1,2019-06-30,2019-12-31,2019-08-30,36.0%,03025,2019
2759,-0.56,0.000,0.5400,12.43m,-756.00k,3,2022-09-30,2022-12-31,2022-11-25,-1.0%,7149,2022
2760,-0.67,0.000,0.5500,12.74m,-871.00k,2,2022-06-30,2022-12-31,2022-08-25,-1.2%,7149,2022
2761,-0.75,0.000,0.5600,12.62m,-763.00k,1,2022-03-31,2022-12-31,2022-05-25,-1.3%,7149,2022
2762,-4.60,0.000,0.5600,16.11m,-5.34m,4,2021-12-31,2021-12-31,2022-02-24,-8.2%,7149,2021
2763,-0.04,0.000,0.6100,11.76m,83.00k,3,2021-09-30,2021-12-31,2021-11-25,-0.1%,7149,2021
2764,-0.89,0.000,0.6100,11.18m,-884.00k,2,2021-06-30,2021-12-31,2021-08-25,-1.5%,7149,2021
2765,1.08,0.000,1.0200,9.44m,944.00k,1,2021-03-31,2021-12-31,2021-05-25,1.1%,7149,2021
2766,0.84,3.500,1.0400,12.84m,669.00k,4,2020-12-31,2020-12-31,2021-02-23,0.8%,7149,2020
2767,1.04,0.000,1.0300,15.81m,755.00k,3,2020-09-30,2020-12-31,2020-11-25,1.0%,7149,2020
2768,1.29,0.000,1.0200,11.25m,898.00k,2,2020-06-30,2020-12-31,2020-08-25,1.3%,7149,2020
2769,0.57,0.000,1.0100,11.41m,574.00k,1,2020-03-31,2020-12-31,2020-05-21,0.6%,7149,2020
2770,-0.66,0.000,1.0000,12.45m,-464.00k,4,2019-12-31,2019-12-31,2020-02-27,-0.7%,7149,2019
2771,-0.21,0.000,1.0100,11.33m,-149.00k,3,2019-09-30,2019-12-31,2019-11-26,-0.2%,7149,2019
2772,1.82,0.000,1.0400,12.13m,1.29m,2,2019-06-30,2019-12-31,2019-08-27,1.8%,7149,2019
2773,0.14,0.000,1.0200,13.17m,101.00k,1,2019-03-31,2019-12-31,2019-05-29,0.1%,7149,2019
2774,-0.54,0.030,1.0200,16.79m,-391.00k,4,2018-12-31,2018-12-31,2019-02-26,-0.5%,7149,2018
2775,9.21,0.000,1.0200,12.96m,6.37m,3,2018-09-30,2018-12-31,2018-11-27,9.0%,7149,2018
2776,0.43,0.030,0.9900,13.87m,379.00k,2,2018-06-30,2018-12-31,2018-08-27,0.4%,7149,2018
2777,0.32,0.000,0.9800,14.19m,171.00k,1,2018-03-31,2018-12-31,2018-05-24,0.3%,7149,2018
2778,1.25,0.000,1.8700,351.24m,5.42m,3,2022-09-30,2022-12-31,2022-11-24,0.7%,5056,2022
2779,3.50,0.000,1.8500,370.70m,15.23m,2,2022-06-30,2022-12-31,2022-08-25,1.9%,5056,2022
2780,4.18,0.000,1.8300,370.86m,18.18m,1,2022-03-31,2022-12-31,2022-05-26,2.3%,5056,2022
2781,5.74,1.000,1.7800,367.54m,25.02m,4,2021-12-31,2021-12-31,2022-02-24,3.2%,5056,2021
2782,4.03,0.000,1.7200,238.93m,17.59m,3,2021-09-30,2021-12-31,2021-11-25,2.3%,5056,2021
2783,2.88,0.000,1.6700,241.46m,12.55m,2,2021-06-30,2021-12-31,2021-08-26,1.7%,5056,2021
2784,4.77,0.000,1.6500,324.65m,20.79m,1,2021-03-31,2021-12-31,2021-05-27,2.9%,5056,2021
2785,2.50,0.750,1.6000,318.47m,10.91m,4,2020-12-31,2020-12-31,2021-02-25,1.6%,5056,2020
2786,2.13,0.000,1.5800,289.39m,9.32m,3,2020-09-30,2020-12-31,2020-11-26,1.3%,5056,2020
2787,-1.68,0.000,1.5600,138.18m,-7.34m,2,2020-06-30,2020-12-31,2020-08-21,-1.1%,5056,2020
2788,0.56,0.000,1.5800,243.55m,2.46m,1,2020-03-31,2020-12-31,2020-06-22,0.4%,5056,2020
2789,-0.71,0.620,1.5800,290.57m,-3.10m,4,2019-12-31,2019-12-31,2020-02-27,-0.4%,5056,2019
2790,0.25,0.000,1.5800,299.46m,1.11m,3,2019-09-30,2019-12-31,2019-11-21,0.2%,5056,2019
2791,0.22,0.000,1.5800,254.64m,985.00k,2,2019-06-30,2019-12-31,2019-08-22,0.1%,5056,2019
2792,0.03,0.000,1.5900,274.25m,118.00k,1,2019-03-31,2019-12-31,2019-05-24,0.0%,5056,2019
